"author","title","post_time","like","hate","article"
"TRosenthal","[公告] 版主再再再再次徵選","Fri Nov  5 00:12:14 2021","579","125","※由於gundamx7812因組務判決失去資格
   故再再再再次舉辦棒球版版主徵選，本次將選出正取一名與備取一名。

※徵選與選舉日程：
徵選日期：公告即日起至首篇徵選文出現後開始算120小時截止。
選舉日期：徵選結束公告後七天開始舉行投票，為期五天。

※參選條件：
1.心臟大顆，不怕被酸被罵，願意犧牲奉獻棒球版，要有當各隊球迷的覺悟。
2.上站次數360次以上、退文0篇、發文數100篇以上(棒球板30篇以上)。
3.一年內無B-1、2、3、6、7、17等水桶紀錄。
4.不符資格之參選文，逕行刪除不予公告。
5.水桶中的使用者與其多重帳號無法參選。

※相關規定：
1.水桶中的使用者以未水桶的分身帳號參選，參選文以B-17鬧版處理，
　水桶日期以C-7與B-17規定設定。
　若當下並未發現水桶身分：若無當選，追溯期為選舉結束後一個月內。
　　　　　　　　　　　　　若有當選，追回版主當選資格，追溯期為卸任前。
2.經查若有違法選舉公平性者，得追回當選資格且處B-17鬧版水桶一年罰則。
3.中途退出或當選後三個月內失去資格者，以B-17鬧板水桶一年處置。
4.參選格式
[徵選] XXXXXXXXX 參選政見
　內文格式參考如下
   一、自介
   【 查詢網友 】
  《ＩＤ暱稱》
  《登入次數》360 次 (同天內只計一次)    《有效文章》100 篇 (退:0)
   二、參選動機
   三、參選政見
   四、經歷

歡迎報名，希望這次四個月內選四次板主的風波可以在這次停止了.....
--
喜歡是一件很美好的事情呢
你在一片很黑很黑的夜裡行走，你看著眼前，好像一無所有
但如果心裡有一個人在，就什麼都存在了
                                                   情何以甚《赤心巡天》
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 140.113.67.251 (臺灣)
"
"LIN9","[新聞]XBX-2好球後大家會變1成打者　只有朱育賢狂","Thu Dec 30 21:10:55 2021","276","92","2好球後大家會變1成打者　只有朱育賢狂掃11轟
記者蕭保祥／台北報導
投打對決進入2好球後，打者選擇空間會受到限制，不能猜測球種做揮擊，通常2好球後的
打擊率會下降很多，不過樂天桃猿朱育賢最特別，今年擊出22轟獲得全壘打王，高達11轟
是2好球後擊出，這是聯盟最多。
使用球恢復係數下降後，台灣中華職棒聯盟打擊率平均值2021年下降到2成60，如果球數
到2好球之後，打擊率平均值驟降到1成93、攻擊指數為.518，長打率只剩下.257。
即便是纏鬥能力較好的中信兄弟王威晨與統一獅陳傑憲，2好球後王威晨OPS會下降到.597
，陳傑憲則是.695較理想，但也與個人的整體數據有一段落差。
只有朱育賢例外，2021年在2好球後有204個打席192個打數，擊出52支安打、包括18支長
打，多達11轟，是聯盟唯一在2好球後雙位數開轟選手，2好球後OPS有.788是最可怕。
現年30歲的朱育賢是Lamigo在2015年選秀會第7輪指名，16年升上一軍開始的前5年，2019
年朱育賢在2好球後擊出13發全壘打在CPBL是很困難的數字，不過去年2好球後長打率下降
到.342生涯新低，2021年則是.479是生涯新高。
而且朱育賢的攻擊慣性2021年也很大不同，相對於其他打者的首球攻擊數據較佳，朱育賢
今年首球攻擊打進場內有25個打數0轟，首球攻擊OPS為.693與聯盟平均值差不多，今年呈
現型態是待在打擊區時間愈長，破壞力愈可怕。
https://reurl.cc/9OzLdv
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.161.45.112 (臺灣)
"
"Intelnet","[新聞] XBX-米蘭達續約5320萬　成韓職最高薪","Thu Dec 30 13:44:15 2021","95","79","https://www.setn.com/News.aspx?NewsID=1050042
記者蕭保祥／綜合報導
韓國職棒外籍選手簽約進度又有進展，培證英雄、KT巫師30日都宣布續約洋投完成，10支
球團只剩下斗山熊、KIA虎剩餘2個名額尚未簽約，不過都有鎖定人選，古巴左投Ariel
Miranda（米蘭達）2022年總額190萬美元（約合新台幣5320萬元）成為KBO最高薪外援。
培育證券英雄宣布以總額130萬美元續約32歲左投Eric Jokisch，過去3年都在KBO繳出雙
位數勝投，2021年年薪為75萬美元，本季戰績16勝9敗、防禦率2.93，獲得大幅加薪到130
萬美元。
冠軍隊KT巫師則是以總額135萬續約Odrisamer Despaigne、總額110萬美元續約William
Cuevas，新外籍野手則是Henry Ramos，3名外援簽約結束，備戰明年球季。
斗山熊28日證實接觸最近4年都在大聯盟有出賽的32歲右投Robert Stock，雙方尚未簽約
。
KIA虎則是希望續約28歲右投手Daniel Mengden，今年出賽21場投120局，戰績8勝3敗、防
禦率3.60，2021年簽約金30萬、年薪42萬5000美元，成績來看如果簽約，加薪幅度應該不
會太大。
Miranda以簽約金30萬、年薪160萬美元與斗山熊完成續約，今年出賽28場戰績14勝5敗、
防禦率2.33，單季225次三振打破崔東原韓職紀錄，也幫助斗山熊連續7年打進韓國大賽。
米蘭達這次續約價值很高，先拿到高額簽約金，相當於月薪可領16萬美元，合約內容沒有
激勵條款，穩定表現就可以保障高收入。
KBO外籍投手簽約進程關係到台灣中華職棒，韓職外援簽約進度幾乎結束，意味著台灣職
棒1月開始洋將簽約會更為明朗。
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 210.61.216.66 (臺灣)
"
"tl20","Fw: [情報] Kyle Seager退休","Thu Dec 30 03:03:44 2021","84","84","※ [本文轉錄自 MLB 看板 #1XpB09XG ]
作者: tl20 (↑↓) 看板: MLB
標題: [情報] Kyle Seager退休
時間: Thu Dec 30 02:59:19 2021

Julie Seager，是Kyle的太太。
剛剛推特代po他的聲明。
他決定要展開生涯新篇章，
總之這位水手球星宣布退休。
https://i.imgur.com/pF5SQuE.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.45.154.96 (臺灣)
"
"mibbl0","Re: [新聞] 明年確定4月2日開季 季後賽新辦法公布","Wed Dec 29 20:33:23 2021","18","119","※ 引述《arod1414 (Kawhi Leonard頭號粉絲)》之銘言：
: 明年確定4月2日開季 季後賽新辦法公布
: 〔記者林宥辰／台北報導〕中職今天召開領隊會議，會中敲定開幕戰、明星賽時間，還有外
: 籍學生加入中職辦法、60人契約保留名單等議題。中職新球季預計4月2日開賽，季後賽則有
: 新辦法。
: 中職預計4月2日開賽，由衛冕軍中信兄弟和台灣大賽對手統一獅交手。7月15日下半季開打
: ，睽違2年未辦的明星賽，則預計落在7月30與31日，下半季開賽的第3周周末。
: 今年中職在台灣大賽前有季後賽制度，「其中一個半季勝率較低」者，需與上下半季冠軍之
: 外，年度勝率最高之球隊打季後賽。秘書長楊清瓏補充，為了維護半季第一的球隊優勢，有
: 拿到半季第一的球隊會先勝1場，主場採4戰2勝「112」分配，勝者再和「半季冠軍勝率較高
: 」者打7戰4勝制台灣大賽，主場分布改採「223」，主客先各打2場，最後3場為主場。若上
: 、下半季皆為同一隊，則辦法和原本相似，但上下半季冠軍者台灣大賽先保送1勝。
: https://sports.ltn.com.tw/news/breakingnews/3784327
重點整理
以下賽制方案一樣有分ABC三種
A方案:
假設上下半季都不同球隊 但勝率最高的季冠軍球隊 直接進到台灣大賽
勝率低的季冠軍球隊 先跟外卡球隊打季後挑戰賽
季後挑戰賽採四戰三勝制(勝率最高球隊有保留勝) 主場採用1-1-2制
勝者再對上勝率最高的季冠軍球隊 採七戰四勝制 主場採用2-2-3制
B方案
假設上下半季都同一隊 該隊直接打台灣大賽
季後賽以全年勝率第二和勝率第三先打五戰三勝制
勝者再對上下半季冠軍球隊 採六戰四勝制(上下半季冠軍球隊有保留勝)
C方案
假設上下半季冠軍不同球隊 但是第三隊卻是全年勝率第一者
先跟勝率低的季冠軍球隊先打季後賽
勝者再跟勝率高的季冠軍球隊打台灣大賽

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.93.151 (臺灣)
"
"polanco","[新聞] SPC-巨人原本想將陽岱鋼賣給火腿！ 日媒","Wed Dec 29 17:00:30 2021","580","20","巨人原本想將陽岱鋼賣給火腿！ 日媒爆料中田翔交易內幕
〔體育中心／綜合報導〕巨人隊在今年無償吸收惹出毆打學弟風波的中田翔，不過今天《日
刊現代Digital》爆料，其實巨人早就想要中田翔，而當時他們向火腿提出的交易人選正是
台灣好手陽岱鋼。
中田翔在季中爆發毆打學弟醜聞，後續被巨人隊無償網羅，當時曾有報導指出，火腿監督栗
山英樹打電話給巨人監督原辰德，希望中田翔能夠再起，當時原辰德說：「不能就這樣毀掉
一名球員，一起承擔痛苦讓他再重生一次。」看起來像是一樁美談，不過真相幾乎相反。
今天日媒引述巨人相關人士爆料，其實想要中田翔的是巨人隊，他們在新球季開幕前，也就
是3月時，巨人就已經向日本火腿提出想交易中田翔的請求，而當時主要的籌碼就是前日本
火腿外野手陽岱鋼。
消息指出，當時洋砲史摩克（Justin Smoak）因為武漢肺炎（新型冠狀病毒病，COVID-19）
的因素，可能沒有辦法趕上開季，而且原辰德監督也不知道他的實力在哪，能做出多少貢獻
，在只有中島宏之能夠頂替史摩克的情況下，才向火腿提出用陽岱鋼換中田翔的要求。
而季初時中田翔因為打不出成績怒砸棒子導致眼睛腫了一大塊，而且因為肺炎關係，導致老
菸槍中田翔無法在札幌巨蛋抽煙影響心情，他又會帶著年輕選手出去到半夜，給其他球員帶
來負面影響，雖然他在合約最後一年，但由於他的年薪還以3億4000萬日圓，加上又要建設
新球場需要大筆資金，但火腿似乎也有理由不能接受巨人的提案。
因此儘管球團對於與中田翔解約抱持著積極的態度，但將人氣選手解約會引起球迷反感，而
且火腿母公司也很重視企業形象，因此球團有點處於被夾在其中的狀態，而轉捩點就是中田
翔傳出的暴力事件。
中田翔因為引爆了毆打學弟的醜聞，遭到球團禁賽，當時栗山監督就表示，中田翔很難繼續
留在日本火腿，後續球隊也在8月將中田翔給無償送往讀賣巨人，最終也讓巨人得到中田翔
。
https://sports.ltn.com.tw/news/breakingnews/3783983
真可惜
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 42.75.104.39 (臺灣)
"
"thnlkj0665","[分享] 朴炳鎬 以三年總額30億韓元合約轉戰kt","Wed Dec 29 12:07:14 2021","302","196","https://www.instagram.com/p/CYDOoohvjbz/
kt魔法師在今天正式宣布簽下Kiwoom英雄隊一壘手 朴炳鎬
雙方達成三年總額30億韓元的合約協議
其中包含簽約金七億韓元、總薪資二十億韓元以及激勵獎金三億韓元

朴炳鎬在今年球季在英雄隊一共出賽118場
打擊三圍 .227/.323/.430   OPS 0.753     93支安打   20發全壘打  76分打點

https://imgur.com/4QTY67u.jpg
https://imgur.com/mfeIWXY.jpg
https://imgur.com/1k4yy5S.jpg


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 218.35.163.74 (臺灣)
"
"zxc906383","[分享] 紐約郵報選出2021紐約體育五大糟糕時刻","Wed Dec 29 00:22:51 2021","210","21","

紐約郵報選出了2021年
紐約體育五大糟糕時刻
洋基、大都會各入選一個
https://reurl.cc/Qjnqeo

5.
NFL紐約巨人 Dexter Lawrence越位
https://i.imgur.com/COdM2m7.png
https://www.youtube.com/watch?v=yp8O9-dm4V8

4.
KD 東區第二輪 G7 踩線三分，最終進OT以111-115被公鹿淘汰
https://i.imgur.com/Z07GWSx.jpg
https://www.youtube.com/watch?v=wHxa-wDP6n0

3.
尼克 東區第一輪 G1 被Trae Young
0.9秒致勝拋投
https://i.imgur.com/yCcOkZB.png
https://www.youtube.com/watch?v=ujy7hN-THb8

2.
大都會Lindor/ Báez倒讚事件
https://i.imgur.com/R7h4ek1.png
https://i.imgur.com/UqFZ0qJ.jpg
https://i.imgur.com/CHkRZX0.png
1.
洋基王牌Gerrit Cole在美聯外卡賽僅投兩局就被紅襪打退，季後賽一輪遊
https://i.imgur.com/sDVKCbv.jpg
https://i.imgur.com/9gx6G1m.jpg



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.129.199.172 (臺灣)
"
"thnlkj0665","[分享] 讀賣巨人宣布續約Wheeler、Mercedes等洋將","Tue Dec 28 17:01:31 2021","232","44","ウィーラー、ビエイラら残留　プロ野球・巨人
巨人は２８日、今季在籍した外国人選手のうち、ゼラス・ウィーラー内野手（３４）、
チアゴ・ビエイラ（２８）、ルビー・デラロサ（３２）、Ｃ・Ｃ・メルセデス（２７）
各投手の計４人と来季の契約を結ぶことで合意したと発表した。
　楽天時代を含めて日本７年目で自己最高の打率２割８分９厘をマークしたウィーラー
は年俸１００万ドル（約１億１５００万円）で合意。他の３選手の年俸は１９セーブを
挙げて抑えに定着したビエイラが１３０万ドル（約１億４９００万円）、デラロサが１
６５万ドル（約１億９０００万円）、メルセデスは４５万ドル（約５２００万円）。（
金額は推定）。
讀賣巨人隊在今天正式宣布續約陣中四名外籍洋將
包含洋投 C.C.Mercedes. Rubby De La Rosa, Thyago Vieira 以及洋砲 Zelous Wheeler

Wheeler 明年年薪100萬美金(約1億1500萬日圓)
本季一共出賽121場，打擊率為2成89，另外繳出111支安打、15發全壘打、56分打點

Mercedes 明年年薪45萬美金(約5200萬日圓)
本季先發出賽17場，戰績為七勝五敗  防禦率 3.77

Vieira 明年年薪130萬美金(約1億4900萬日圓)
本季後援出賽56場，戰績為零勝三敗，拿下1次中繼成功以及19次救援成功  防禦率 3.07

De La Rosa 明年年薪165萬美金(約1億9000萬日圓)
本季後援出賽46場，戰績為一勝零敗，拿下13次中繼成功以及七次救援成功  防禦率 2.83


來源: https://www.jiji.com/jc/article?k=2021122800779&g=bsb

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 218.35.163.74 (臺灣)
"
"hicker","[LIVE] 110 UBL 公開男生組第一級 複賽 12/28賽程","Tue Dec 28 12:05:20 2021","359","149","今日賽程：
        主隊          客隊   SSUtv直播網址
14:00 輔仁大學 0:10 文化大學 https://youtu.be/LkOuyLGrOn4
18:00 開南大學 13:3 國立體大 https://youtu.be/rgzafeRx5Ow (7局KO)
電視直播：ELEVEN Sports ２
網路直播：SSUtv
比賽地點：台中台灣體育大學棒球場

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.136.179.155 (臺灣)
"
