"author","title","post_time","like","hate","article"
"r66","[公告] 口罩文會退文","Mon May 24 14:03:10 2021","487","145","近日口罩文遽增
許多口罩神人文
前仆後繼地跑來自殺
這邊再次宣導
口罩神人文會退文
另其他類別
內文可指出該人物是誰則無限制
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 218.166.12.83 (臺灣)
"
"AmedRosario","[正妹] 短髮","Thu Dec 30 12:31:59 2021","423","108","https://i.imgur.com/oYmZgCV.jpg
https://i.imgur.com/MWwfOHO.jpg
https://i.imgur.com/PkBnRsG.jpg
https://i.imgur.com/vUcfjuo.jpg
https://i.imgur.com/xgAGXzh.jpg
https://i.imgur.com/4aRYoma.jpg
https://i.imgur.com/YKFAa2O.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 219.100.37.233 (日本)
"
"s7503228","[正妹] 日本人","Wed Dec 29 13:43:10 2021","266","147","https://i.imgur.com/JPqU1Zo.jpg
https://i.imgur.com/rEGxCog.jpg
https://i.imgur.com/Hj5gCs5.jpg
https://i.imgur.com/Bl2GcW0.jpg
https://i.imgur.com/M7w3doJ.jpg
https://i.imgur.com/HlOizk5.jpg
https://i.imgur.com/peNjxia.jpg
https://i.imgur.com/PpKUjgB.jpg
https://i.imgur.com/0Z71RHz.jpg
https://i.imgur.com/Dyu9Ukw.jpg
https://i.imgur.com/vHOuN9r.jpg
https://i.imgur.com/PSXXjj4.jpg
https://i.imgur.com/462h8ZM.jpg
https://www.instagram.com/enakorin/
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 60.249.132.75 (臺灣)
"
"a520","[正妹] 四位妹子一張","Mon Dec 27 20:43:57 2021","486","37","https://i.imgur.com/6MdDeQ8.jpg
鄉民怎麼看?
-----
Sent from JPTT on my Samsung SM-G9910.
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.12.23.191 (臺灣)
"
"ReiKuromiya","[正妹] 南韓","Sun Dec 26 22:24:24 2021","469","42","https://i.imgur.com/KfYRWOq.gif
https://i.imgur.com/AQ5PVvB.gif
https://i.imgur.com/UtFaNoM.gif
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.12.115.162 (臺灣)
"
"jaylue","[神人] sym showgirl","Sat Dec 25 20:21:02 2021","455","124","https://i.imgur.com/ARgBWiV.jpg
今日重車展看到的showgirl 協尋ig
----
Sent from BePTT on my iPhone 12 Pro Max
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.44.142.201 (臺灣)
"
"ckpot","[正妹] 大尺碼｜肉特(788) ","Fri Dec 24 22:07:04 2021","553","76","Cintia Mara (BR)

https://i.imgur.com/rJBoMRw.jpg
https://i.imgur.com/IWlbEkA.jpg
https://i.imgur.com/eJCpDwN.jpg
https://i.imgur.com/cGpvs0K.jpg
https://i.imgur.com/vvyr3iQ.jpg
https://i.imgur.com/T9NwaCM.jpg
https://i.imgur.com/XCPoBSx.jpg
https://i.imgur.com/3KVmLAg.jpg
https://i.imgur.com/otokL4x.jpg
https://i.imgur.com/5m4WSy8.jpg
https://i.imgur.com/3PcD0ns.jpg
https://i.imgur.com/aRubQ22.jpg
https://i.imgur.com/tJTE5NN.jpg
https://i.imgur.com/s8NihYj.jpg
https://i.imgur.com/PrsuGCk.jpg
https://i.imgur.com/aIyBcQI.jpg
https://i.imgur.com/CiiYERI.jpg
https://i.imgur.com/jsI7tCJ.jpg
https://i.imgur.com/TK0dZhU.jpg
https://i.imgur.com/0VkeB7C.jpg
--
IG: ckpot_plussizetw
#bodyconfience #bodypositive #bodyacceptance
#fatpositive #fatacceptance #bigisbeautiful
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.71.90.248 (臺灣)
"
"YenFuOne","[正妹] 網球女將_彭帥","Thu Dec 23 08:56:02 2021","575","5","https://i.imgur.com/GDxLpcH.jpg
https://i.imgur.com/MEhdsjD.jpg
https://i.imgur.com/RJ9YxZr.jpg
其實蠻性感的
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 211.75.180.178 (臺灣)
"
"Note5edge","[正妹] 小兔牙","Tue Dec 21 17:33:47 2021","239","198","https://i.imgur.com/Yh2uWiV.jpg
https://i.imgur.com/kNA4bjA.jpg
https://i.imgur.com/y1D27Bl.jpg
https://i.imgur.com/RQHZEbP.jpg
https://i.imgur.com/lpTXjU7.jpg
https://i.imgur.com/jNZ9cc5.jpg
https://i.imgur.com/O1h6JwW.jpg
https://i.imgur.com/aIibmk3.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.200.145.90 (臺灣)
"
"ckpot","[正妹] 大尺碼｜肉特(783) ","Mon Dec 20 11:26:46 2021","221","33","Layni Chamberlain (US)
170cm｜38-36-50
https://i.imgur.com/BDfki4x.jpg
https://i.imgur.com/cksy2Nk.jpg
https://i.imgur.com/6FMnn2D.jpg
https://i.imgur.com/FKYM7Oa.jpg
https://i.imgur.com/lxcUDZu.jpg
https://i.imgur.com/10Z4hVl.jpg
https://i.imgur.com/vmLDUFC.jpg
https://i.imgur.com/8cQ1wLq.jpg
https://i.imgur.com/UhLMe7q.jpg
https://i.imgur.com/FcL8RQ2.jpg
https://i.imgur.com/lcvKROm.jpg
https://i.imgur.com/ryqvnkb.jpg
https://i.imgur.com/J6Q4uh1.jpg
https://i.imgur.com/NnzZIrT.jpg
https://i.imgur.com/VT8U1ww.jpg
https://i.imgur.com/6Wu8URy.jpg
https://i.imgur.com/8ZRP62g.jpg
https://i.imgur.com/NYV9sqH.jpg
https://i.imgur.com/Ao6vkPG.jpg
https://i.imgur.com/AhUZD88.jpg
--
IG: ckpot_plussizetw
#bodyconfience #bodypositive #bodyacceptance
#fatpositive #fatacceptance #bigisbeautiful
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.136.196.56 (臺灣)
"
"allenchen98","[正妹] 懸崖邊吃關東煮","Sun Dec 19 09:26:57 2021","394","137","https://imgur.com/2CWRU0y.jpg
https://imgur.com/hW7KgeM.jpg
https://imgur.com/4VgAeKZ.jpg
https://imgur.com/IbztC01.jpg
https://imgur.com/SUDd3hA.jpg
https://imgur.com/PbKWzo5.jpg
https://imgur.com/QSGfMfC.jpg
https://imgur.com/wLpEgXS.jpg
https://imgur.com/MX3c5ij.jpg
https://imgur.com/053sQ41.jpg
https://imgur.com/vcjRddU.jpg
https://imgur.com/nfV84MX.jpg
https://imgur.com/DIfN637.jpg
https://imgur.com/GTEhmAE.jpg
https://imgur.com/6Cj7REK.jpg

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.231.113.120 (臺灣)
"
"AmedRosario","[正妹] 14張14位","Sat Dec 18 12:27:19 2021","101","77","1.
https://i.imgur.com/siUfZ7a.jpg
2.
https://i.imgur.com/xVrM1j1.jpg
3.
https://i.imgur.com/hnN9jRT.jpg
4.
https://i.imgur.com/Vr6Tw8x.png
5.
https://i.imgur.com/gyjkJ1G.jpg
6.
https://i.imgur.com/3Fl3XF6.jpg
7.
https://i.imgur.com/CQmZSIY.jpg
8.
https://i.imgur.com/XSeuAEQ.jpg
9.
https://i.imgur.com/w4XT0Qa.jpg
10.
https://i.imgur.com/WCGaoAw.jpg
11.
https://i.imgur.com/DTsXlfP.jpg
12.
https://i.imgur.com/MogVZwA.jpg
13.
https://i.imgur.com/XXniEYU.jpg
14.
https://i.imgur.com/UY4dt2Q.jpg
--
https://i.imgur.com/3Yn94Dj.gif
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 219.100.37.233 (日本)
"
"ckpot","[正妹] 大尺碼｜肉特(780)","Fri Dec 17 21:55:11 2021","207","112","Jules Sky (US)
180cm｜40E-37-50
https://i.imgur.com/ZkSXvuE.jpg
https://i.imgur.com/gZqRftm.jpg
https://i.imgur.com/hPt5Y9Z.jpg
https://i.imgur.com/k7F3AGZ.jpg
https://i.imgur.com/Us92MMx.jpg
https://i.imgur.com/vCGafuf.jpg
https://i.imgur.com/Yl7vvil.jpg
https://i.imgur.com/g2fwRu3.jpg
https://i.imgur.com/jhz3vUm.jpg
https://i.imgur.com/mVjVaVj.jpg
https://i.imgur.com/4aKd5Wf.jpg
https://i.imgur.com/B2NygrX.jpg
https://i.imgur.com/pDysYsf.jpg
https://i.imgur.com/bZkIsIN.jpg
https://i.imgur.com/Dl6vikp.jpg
https://i.imgur.com/fNWdjlF.jpg
https://i.imgur.com/trjSiAB.jpg
https://i.imgur.com/hhxVs1f.jpg
https://i.imgur.com/0Xttwh3.jpg
https://i.imgur.com/QyGBPiR.jpg
https://i.imgur.com/0bHV1KY.jpg
https://i.imgur.com/2VvS484.jpg
https://i.imgur.com/FkZQ7Nb.jpg
https://i.imgur.com/wODAPkL.jpg
https://i.imgur.com/VNYDNEJ.jpg
https://i.imgur.com/Z7PKIJq.jpg
https://i.imgur.com/0qLpbOa.jpg
https://i.imgur.com/Qiz3Vn3.jpg
https://i.imgur.com/QsS8dpM.jpg
https://i.imgur.com/YJpwt7u.jpg
https://i.imgur.com/5Ed1Rg6.jpg
https://i.imgur.com/Lmwj9vN.jpg
https://i.imgur.com/0tUphvj.jpg
https://i.imgur.com/kAdEzHg.jpg
https://i.imgur.com/nWeiuaz.jpg
https://i.imgur.com/5ZAemKD.jpg
https://i.imgur.com/OqUFhdC.jpg
https://i.imgur.com/HlJQSsP.jpg
https://i.imgur.com/tNJbKTh.jpg
https://i.imgur.com/0J6g196.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 140.112.164.127 (臺灣)
"
"hateOnas","[正妹] 巧克力蛋糕","Thu Dec 16 18:04:41 2021","35","202","https://i.imgur.com/5p7I2Ne.jpeg
https://i.imgur.com/s0O9QJk.jpeg
https://i.imgur.com/3UoCnIj.jpeg
https://i.imgur.com/NjsHzbH.jpeg


wuyihan_1209

--
這個社會一直在談家庭、教育，以及工作間的平衡，我辭職之後回家帶小孩，
我沒想到這個社會是如此的不安全。
我真的很希望政府、各級單位，能夠做些事情讓媽媽放心帶小孩，
或者是讓媽媽放心工作
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.162.83.238 (臺灣)
"
"Danny727","[神人] yoxi廣告妹子","Wed Dec 15 16:49:43 2021","356","13","前陣子常看到這廣告，每次都覺得這個妹子好正，有沒有人認識？
https://i.imgur.com/TeXR2kd.jpg
https://i.imgur.com/EYZnyol.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 39.12.128.97 (臺灣)
"
"ReiKuromiya","[正妹] 仲原ちえ","Mon Dec 13 23:42:38 2021","338","182","https://pbs.twimg.com/media/E3b3wAdVkAUkFSr.jpg
https://pbs.twimg.com/media/FFf6IUqUcAg0OB_.jpg
https://pbs.twimg.com/media/E0nvpX8VEAQPDmo.jpg
https://pbs.twimg.com/media/FEfHn6faIAA96Di.jpg
https://pbs.twimg.com/media/FFf7M3BVEAk6E8R.jpg
https://pbs.twimg.com/media/FDr3MyfaQAAvKUM.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.10.58.67 (臺灣)
"
"ohooyaya","[正妹] 回眸","Sun Dec 12 22:18:57 2021","564","141","https://i.imgur.com/YbGMvzJ.jpg
https://i.imgur.com/nRR4D5N.jpg
https://i.imgur.com/L7LsAUr.jpg
https://i.imgur.com/1r7iSSr.jpg
https://i.imgur.com/msaDTiE.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.71.0.75 (臺灣)
"
"ReiKuromiya","[正妹] 椎名あやね","Sat Dec 11 15:04:10 2021","237","110","https://pbs.twimg.com/media/Eyqj_PBVoAAF8TQ.jpg
https://pbs.twimg.com/media/Eyqj_PGUYAAsZci.jpg
https://pbs.twimg.com/media/E3gklHXVgAEn5v-.jpg
https://pbs.twimg.com/media/E3gklGQVUAEel_T.jpg
https://pbs.twimg.com/media/FDAltKOaQAA0fOZ.jpg
https://pbs.twimg.com/media/E3rxqlnUUAIUEpl.jpg
https://pbs.twimg.com/media/E7sBiTjVUAIixUi.jpg
https://pbs.twimg.com/media/E3wHJ2eVgAAlktA.jpg
https://pbs.twimg.com/media/E5meDuoVkAgLLct.jpg
https://pbs.twimg.com/media/E5meDwKVEAMZdeU.jpg
https://twitter.com/a_tan_1027
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.103.81 (臺灣)
"
"nivii","[正妹] 勞動律師陳庭琪","Fri Dec 10 13:16:12 2021","205","95","https://i.imgur.com/gFAeFnW.jpg
https://fb.watch/9OCVUA6eQp/
太可愛了吧
--
Sent from nPTT on my iPhone 12 Pro
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 104.132.150.96 (臺灣)
"
"ckpot","[正妹] 大尺碼｜肉特(764)","Thu Dec  9 09:20:05 2021","502","150","Athena Blaze (US)
168cm｜36H-34-47
https://i.imgur.com/0vG6lZK.jpg
https://i.imgur.com/xDGhdso.jpg
https://i.imgur.com/v81n6XT.jpg
https://i.imgur.com/C6iipzr.jpg
https://i.imgur.com/R4D3CAZ.jpg
https://i.imgur.com/EwbNEka.jpg
https://i.imgur.com/gt1XdPV.jpg
https://i.imgur.com/sxm5sAq.jpg
https://i.imgur.com/RSYux4K.jpg
https://i.imgur.com/OyVa49V.jpg
https://i.imgur.com/lvF9EX1.jpg
https://i.imgur.com/YvDuApo.jpg
https://i.imgur.com/yzArSW1.jpg
https://i.imgur.com/wUK3df2.jpg
https://i.imgur.com/fcQWM6y.jpg

--
IG: ckpot_plussizetw
#bodyconfience #bodypositive #bodyacceptance
#fatpositive #fatacceptance #bigisbeautiful
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.163.179.165 (臺灣)
"
"teramars","[正妹] 年輕媽咪","Wed Dec  8 00:10:57 2021","539","140","https://i.imgur.com/pzIwBBA.jpg
https://i.imgur.com/QprnwwF.jpg
https://i.imgur.com/5WhAb8l.jpg
https://i.imgur.com/XOK0vZC.jpg
https://i.imgur.com/HUaYZlY.jpg
https://i.imgur.com/p5ktLE4.jpg
https://i.imgur.com/qBCmEck.jpg

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.9.133.57 (臺灣)
"
"ckpot","[正妹] 大尺碼｜肉特(760)","Mon Dec  6 23:54:54 2021","190","82","@roserayy

https://i.imgur.com/Jaf6mwm.jpg
https://i.imgur.com/Gg6pRfK.jpg
https://i.imgur.com/MNlpieY.jpg
https://i.imgur.com/Tnkd1Ma.jpg
https://i.imgur.com/IUz5tEW.jpg
https://i.imgur.com/osR0gEe.jpg
https://i.imgur.com/r2uWbSn.jpg
https://i.imgur.com/dRdG6hJ.jpg
https://i.imgur.com/HhkAZDL.jpg
https://i.imgur.com/qvJbbev.jpg
https://i.imgur.com/AEsC3r3.jpg
https://i.imgur.com/s3GzSto.jpg
https://i.imgur.com/sAs3mtP.jpg
https://i.imgur.com/j3gD9oB.jpg
https://i.imgur.com/8uRl7XE.jpg
https://i.imgur.com/YWravgp.jpg
https://i.imgur.com/dw1QC88.jpg
https://i.imgur.com/tdzA7Oq.jpg
https://i.imgur.com/zgLR7Zw.jpg
https://i.imgur.com/dIVPcoL.jpg
https://i.imgur.com/ipJpS7P.jpg
https://i.imgur.com/asCTEec.jpg
https://i.imgur.com/tWrLoAA.jpg
https://i.imgur.com/isC3i9Z.jpg
https://i.imgur.com/64RKnvz.jpg
https://i.imgur.com/nupi2QJ.jpg
https://i.imgur.com/Bk1LiJc.jpg
https://i.imgur.com/iV11CxG.jpg
https://i.imgur.com/dzq96Tx.jpg
https://i.imgur.com/ADyTjw7.jpg
https://i.imgur.com/OnNyUvh.jpg
https://i.imgur.com/80cM3e1.jpg
https://i.imgur.com/CcmFDF0.jpg
https://i.imgur.com/ur0YobC.jpg
https://i.imgur.com/0Z9ajG6.jpg
https://i.imgur.com/EOJEbPn.jpg
https://i.imgur.com/qZSqRxn.jpg
https://i.imgur.com/iODkQMK.jpg
https://i.imgur.com/IaO3leA.jpg
https://i.imgur.com/vGJl8TP.jpg
https://i.imgur.com/xXrFokP.jpg
https://i.imgur.com/jIt9VfC.jpg
https://i.imgur.com/8vibBvo.jpg
https://i.imgur.com/izjaPW1.jpg
https://i.imgur.com/UWep1Sb.jpg
https://i.imgur.com/iGyLQ36.jpg
https://i.imgur.com/e7n0W8W.jpg
https://i.imgur.com/teskyKD.jpg
https://i.imgur.com/16vBXeX.jpg
https://i.imgur.com/fWPoVyf.jpg
https://i.imgur.com/cjQYN1X.jpg
https://i.imgur.com/6wxjhO8.jpg
https://i.imgur.com/AjyLg66.jpg
https://i.imgur.com/mZkBX3K.jpg
https://i.imgur.com/bKdj4KQ.jpg
https://i.imgur.com/Ph4vJqT.jpg
https://i.imgur.com/n5iV0Yk.jpg
https://i.imgur.com/58368KP.jpg
https://i.imgur.com/G08q6fl.jpg
https://i.imgur.com/ZmhG2fY.jpg
https://i.imgur.com/wPuckit.jpg
https://i.imgur.com/cK0yroH.jpg
https://i.imgur.com/yifOlWt.jpg
https://i.imgur.com/0ir2ktG.jpg
https://i.imgur.com/Qs1Tw5T.jpg
https://i.imgur.com/1DvsEJy.jpg
https://i.imgur.com/43hk9i4.jpg
https://i.imgur.com/pWEHY0e.jpg
https://i.imgur.com/sWd3wJB.jpg
https://i.imgur.com/CszvnOA.jpg
https://i.imgur.com/oHDkKoT.jpg
https://i.imgur.com/ZeENDJz.jpg
https://i.imgur.com/FxZGJ2V.jpg
https://i.imgur.com/STkyjh6.jpg
https://i.imgur.com/QrjWsLT.jpg
https://i.imgur.com/cofLra5.jpg
https://i.imgur.com/j0bZrP5.jpg
https://i.imgur.com/F67SavM.jpg
https://i.imgur.com/zmiLOwP.jpg
https://i.imgur.com/395686B.jpg

--
IG: ckpot_plussizetw
#bodyconfience #bodypositive #bodyacceptance
#fatpositive #fatacceptance #bigisbeautiful
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.169.33.166 (臺灣)
"
"f21814","[正妹] 粉紅","Sun Dec  5 14:29:53 2021","531","170","https://i.imgur.com/4EwVvQs.jpg
https://i.imgur.com/jkHHm2b.jpg
https://i.imgur.com/9ccccEh.jpg
https://i.imgur.com/6iK6gcE.jpg
https://i.imgur.com/vXS4Zs3.jpg
https://i.imgur.com/QaI3q0m.jpg
https://i.imgur.com/J9tTOm2.jpg
https://i.imgur.com/HSC2ts5.jpg
https://i.imgur.com/gkuyiHi.jpg
https://i.imgur.com/UV00t0c.jpg
-----
Sent from JPTT on my iPhone
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.24.96.78 (臺灣)
"
"chic2","[正妹] 黑色系","Sat Dec  4 17:36:08 2021","33","8","https://i.imgur.com/eqci7wg.jpg
https://i.imgur.com/GRk1Ss9.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.140.139.218 (臺灣)
"
"xiemark","[正妹] 猶抱琵琶半遮面","Fri Dec  3 17:11:56 2021","416","48","https://i.imgur.com/ahowYPv.jpg
忽聞水上琵琶聲，主人忘歸客不發。
尋聲闇問彈者誰，琵琶聲停欲語遲。
移船相近邀相見，添酒回燈重開宴。
千呼萬喚始出來，猶抱琵琶半遮面。
轉軸撥絃三兩聲，未成曲調先有情。
絃絃掩抑聲聲思，似訴平生不得志。
低眉信手續續彈，說盡心中無限事。
輕攏慢撚抹復挑，初為霓裳後六么。
大絃嘈嘈如急雨，小絃切切如私語。
嘈嘈切切錯雜彈，大珠小珠落玉盤。


北藝大學生
https://www.youtube.com/watch?v=5ZI7QTAjmsY
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.160.143.3 (臺灣)
"
"yihsienyi","[帥哥] 林威助","Thu Dec  2 12:20:37 2021","23","109","https://i.imgur.com/rfdZqpF.jpg
https://i.imgur.com/kq4ht2N.jpg
https://i.imgur.com/bmXimqy.jpg
https://i.imgur.com/aQpUDCj.jpg
https://i.imgur.com/oS6uEVN.jpg
https://i.imgur.com/kZQ8k9V.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 122.121.152.53 (臺灣)
"
