"author","title","post_time","like","hate","article"
"q347","[公告] 禁止公布中二選區和罷免林民調","Thu Dec 30 11:23:07 2021","6","110","
依照""公職人員選舉罷免法""第53條
""政黨及任何人於投票日前十日起至投票時間截止前，不得以任何方式，發布有關候
選人、被罷免人或選舉、罷免之民意調查資料，亦不得加以報導、散布、評論或引述。

該選舉日為2022年1月9日，故從今日2021年12月30日起，
禁止公告任何相關民調。

1.違者依照板規第八條""違反中華民國法律""，該文退回併水桶一個月。

2.除罷免民調之外，政黨支持度或者政治人物好感度，也都請不要張貼。
  運氣不好警察局會請你喝茶，檢察官好像只會請你喝白開水。

美推30P，重複只有一包，前一百推都有，明年發。

--
四川熊貓順福
https://i.imgur.com/x2ct4PP.jpg
https://i.imgur.com/92pFRA6.jpg
https://i.imgur.com/GyqObjn.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 121.254.66.76 (臺灣)
"
"TaraSoYeon","[問卦] 館長健身房那麼頂為什麼吃不到藝人這塊？","Fri Dec 31 00:42:08 2021","403","190","300壯士有各種名人
連周杰倫也是
老闆結婚時也是眾星雲集
但是說實話
館長的知名度還比豪哥高不知道幾倍  (講豪哥可能還有人不知道是誰)
啊怎麼館長有這樣的知名度卻吃不到藝人這塊？
只能賣一些有的沒的賺辛苦錢
這中間是有出什麼差錯嗎？
--
Sent from my Mentholatum
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.42.24.213 (臺灣)
"
"oftisa","[問卦] 萊爾富、OK為什麼不合併？","Fri Dec 31 00:27:06 2021","260","98","便利商店不就是賣一樣的東西而已
為什麼本土的品牌就是打不贏代理的品牌？
公司高層不都是台灣人嗎？
台灣大哥大&台灣之星都能合併了
OK、萊爾富當然也可以合併
打不贏就合作嘛，更何況跟老大、老二差這麼多
連蝦皮都不利用已有的便利商店，自己開店面了
當萬年倒數有甚麼前景？不如大破大立
有沒有萊爾富、OK不合併的八卦？
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 219.68.195.84 (臺灣)
"
"Qorqios","[問卦] 最頂的蛋餃吃起來是什麼口感","Fri Dec 31 00:14:23 2021","57","48","hi！大家！天氣冷吃個火鍋吧！
跟朋友說覺得蛋餃越來越難吃了
結果他說下次我請你吃最頂的蛋蛋…餃
最頂的蛋餃是怎樣的美味?!有沒有八卦!?!
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
--
https://i.imgur.com/2oUrCev.jpg https://i.imgur.com/Jv1vIfG.png
♥動畫♥閱讀
文學♥ＡＣＧ https://www.facebook.com/Qorqios/

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.160.66.80 (臺灣)
"
"yangzy","[問卦] 在百貨公司買東西看標價的情況有改善嗎？","Fri Dec 31 00:04:27 2021","119","12","櫃姐揭發在百貨公司看標價的行為後，獲得廣大
迴響，請問現在這種狀況有改善嗎？
※ 八卦板務請到 GossipPicket 檢舉板實名詢問
※ a.張貼問卦請注意，充實文章內容、是否有專板，本板並非萬能問板。
※ b.一天只能張貼 ""兩則"" 問卦，自刪及被刪也算兩篇之內，
※   超貼者將被水桶，請注意!
※ c.本看板嚴格禁止政治問卦，發文問卦前請先仔細閱讀相關板規。
※ d.未滿30繁體中文字水桶3個月，嚴重者以鬧板論，請注意！
※ (↑看完提醒請刪除ctrl + y)
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 115.165.192.217 (臺灣)
"
"WAXNSIM","[問卦] 之後看不到《戀愛心機又怎樣》該怎辦？","Thu Dec 30 23:53:53 2021","460","73","剛才看前面的新聞說
WakuwakuJapan要退出台灣了
台灣有播《戀愛心機又怎樣》的頻道要不見了
那以後看不到了該怎麼辦？
難道以後只有以下二途：
一、繼續待在家裡當宅男，不用怕被女生騙。
二、離開家裡接觸女生，然後被女生騙。
如果是這樣不就是世界末日了嗎？！
有沒有八卦？幹！
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 219.85.29.40 (臺灣)
"
"amydfg","[問卦] 浴缸塞會不會很貴","Thu Dec 30 23:41:17 2021","264","78","
今天出去玩的時候
在飯店泡澡時準備把水放掉
結果把浴缸塞弄斷了
現在要直接烙跑了嗎
還是主動告知呢？

-----
Sent from JPTT on my Xiaomi M2101K9G.
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.10.11.12 (臺灣)
"
"queeenop","[新聞] 天冷母雞不下蛋！蛋價走俏 批發價每台斤4","Thu Dec 30 23:30:31 2021","552","192","
1.媒體來源:
自由時報

2.記者署名:
記者楊媛婷/台北報導

3.完整新聞標題:
天冷母雞不下蛋！蛋價走俏 批發價每台斤44元

4.完整新聞內文:
〔記者楊媛婷／台北報導〕年節將屆，農委會已盤點外界關心的3項食材乾香菇、白鯧魚及雞蛋供應情形，其中，白鯧魚供應無虞，乾香菇也能充分供應，不過，雞蛋批發價每台斤44元，位於相對較高區位，已請產業讓休產母雞投入生產，並請蛋商加強雞蛋各通路調度，充分供應消費者需求，雞蛋價格應可持穩。
農委會說，為了確保國人可用合理價格購買所需食材，盤點包含過年許多人會用到的白鯧魚，白鯧價格易受海洋捕撈不確定等因素影響，再加上年節前消費者送禮、圍爐聚餐及祭祀等用魚需求增加，不過，今年白鯧進口量較去年增加1255公噸，冷凍白鯧供應無虞，也會請產銷團體釋出金鯧、紅色吳郭魚、石斑魚（時來運轉）等象徵吉利討喜魚種；春節前5日加強調配13處消費地批發魚市場，供應量由平日350公噸提升至450公噸，讓年節期間水產品供應充裕，滿足消費者所需。
日常食材雞蛋因屆消費旺季，入冬來氣侯日夜溫差大，造成蛋雞產蛋量下降，市場需求緊俏，目前雞蛋批發價格為每台斤44元，位於相對高價區。農委會已請產業做好生物安全防護與防寒措施，休產母雞投入生產，並請蛋商加強雞蛋各通路調度，充分供應消費者需求，雞蛋價格應可持穩。
至於全年供應的乾香菇部分，目前正值主要產季，受生育期白天高溫乾燥影響，產量較去年略減2成。但餐廳團膳消費需求因疫情略降，整體供需相當。近期產地價格為每公斤900至1200元，與往年同期相近，可充分供應，價格平穩。
農委會說，目前各項農產品供應充足，為應消費需求量大增，除了持續監控各項物資的價格與供應量，也將滾動加強調節市場供需，同時呼籲國人多選購當季的國產優質美味農、水、畜禽產品。
5.完整新聞連結 (或短網址):
https://news.ltn.com.tw/news/life/breakingnews/3785743


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.233.236.170 (臺灣)
"
"onijima","[問卦] 認真問，保養/化妝品的櫃姐穿短是想什麼?","Thu Dec 30 23:20:05 2021","334","135","認真問
不是蟲衝腦的幻想文
我通勤的地方有家百貨公司
就算不可刻意走進去看
只要經過時轉頭看落地窗
甚至在大眾交通站都能看到
基本上那個時間點
又穿全黑制服+絲襪的
絕大多數都是賣保養/化妝品的企業
我看過不止一次
她們的裙長頂多就是到大腿的1/3長而已
而且窄又配很透明的絲襪
房仲或車商穿這樣能理解
畢竟客群是男性為主
這對她們而言能增加流量
進而推銷成功的可能性
但問題男性用的保養品都是開架商品
應該只有女性才會去百貨公司買
無法增加流量為什麼還穿這樣?
女生彼此間看了不會尷尬嗎?
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.128.126.220 (臺灣)
"
"bibiblue","Re: [問卦] 現在國軍伙食進化到這麼頂了嗎??(千千YT","Thu Dec 30 23:08:19 2021","264","42","第一看單位，第二看伙委，第三就看當時的伙房兵有沒有真材實料的了。想當初我當伙委的
時候 搞到整個單位變模範廚房，憲特的跑來實習，各級長官跑來吃飯觀摩。之後我就橫著
走了 搞了一堆菜色 什麼蔥油雞 豆酥鱈魚 日式炸豬排 屌打前一任伙委各種口味的豬排。
只是連長很靠北 有時候還指定宵夜要吃什麼 忽然說想吃酸菜鴨肉冬粉到底是要去哪生～
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.24.152.134 (臺灣)
"
