"author","title","post_time","like","hate","article"
"dahanjian","[公告] 請版友注意40字規定 任何文章都要40字心","Sun Nov 28 17:12:46 2021","157","33","
近來檢舉案大增
請版友注意40字規定
無論轉錄新聞舊聞等文章
都要自己打40字
不然根據板規第二章 會刪除警告
累犯水桶 ~~~~~~~~~~~

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.143.75.68 (臺灣)
"
"DingLey","[討論] 一直被發壞人卡就成功啦","Fri Dec 31 00:12:57 2021","314","110","俗話說:被頒好人卡就是不好的事情, 因此呢 相反的 就是要被多發壞人卡
顏寬恒這次補選,相信他已經收壞人卡收到手痠了吧
對手一直要在媒體上凸顯他的壞, 可是俗話也說啦[候選人不壞,選民不愛!]
相對的,妳林靜儀就是只有收好人卡的份!
所以,塔綠班多多加油吧 再多發一點壞人卡給顏啊 這樣他就成功啦!
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.160.34.101 (臺灣)
"
"AskWhat","Re: [討論] 兩岸若開戰 民調「51％民眾不願上戰場」","Thu Dec 30 22:34:10 2021","28","11","我不曉得你想證明什麼？
是要證明因為俄國貪生怕死，沒種跟美國要回阿拉斯加；
所以，中國沒種、貪生怕死不敢跟俄國要回幾百萬平方公里的中國固有領土是正常的？
俄國可以沒種，中國可以沒種，
但台灣2300萬找美日當幫手，不單挑中國10幾億，就是貪生怕死？
這邏輯只應天上有....真是豈有此理！
幾百萬中國固有領土被侵占，
資料來源：https://bit.ly/32vsyMj、https://bit.ly/3Jt7ruq
香港回歸，中國敢跟英國""談""出來，是正常，
但被俄國侵占的幾百萬平方公里的中國固有領土，
中國卻貪生怕死，沒種跟俄國談，到底是多孬種？
貪生怕死最多領土""談""不回來，就算了，但還幫忙勘界【認證】那些被侵占的國土
不是自己的，到底是有多賤，才能做出這樣的事情？
台灣對中國順差破1500億美元？到底是多無知才會講出這樣的話？
是台灣需要中國，還是中國需要台灣？這都不清楚？
總不會是中國在資助台灣1500億美元吧？
https://bit.ly/3JtLTxX
有本事讓中國像禁台灣鳳梨一樣，禁台灣的半導體產品，我是笑中國不敢啦....

※ 引述《gn1384181 (武統總加速師蔡英文)》之銘言：
: 如果不是俄羅斯輸給英法，導致國庫空虛，俄羅斯為了保住克里米亞，避免兩線作戰，
: 否則俄羅斯根本不會把阿拉斯加賤賣給美國。交易或割讓都是具有法律效力的文件，阿拉
: 斯加曾經是俄羅斯領土也是事實，既然割讓都可以靠拳頭要回來，只要你拳頭比對方大，
: 買賣也不是事。
: 香港的回歸是談出來的，是英國政府承認的，和晚清政府承認的一樣具有法律效力。
: 中共和英國可沒有勘界協議喔，你英國當初用拳頭把香港從中國手裡搶過來。
: 現在中共把原本屬於自己的領土拿回去，剛好而已。
: 黑瞎子島面積335平方公里，劃歸中方171平方公里，劃歸俄方164平方公里。幾百萬的中國
: 固有領土奉送給蘇聯? 勘界協議書全文都沒公開，你就知道了?XD 誰跟你講的? 大紀元還
: 是新唐人小說部?XD 說你們幼稚就是幼稚在這裡，跟小學生鬧情緒一樣，困在歷史漩渦裡
: 走不出來，你抱怨這麼多，中俄邊境勘界已成既成事實，歷史已經是歷史，一直靠夭這個
: 是能改變什麼? 說一句直白的啦，那些領土拿回來中國還是陸權強國啦，拿下台灣中國
: 就晉升為海權強國，打美國狗腿子台灣給全世界看，把美國踢下神壇的政治紅利，那才是
: 享用不盡的金山銀山。再說了，現在在西伯利亞和遠東的中國人越來越多，當地俄羅斯人
: 也經常來東北度假，隨著中國綜合國力的提升，未來遠東地區誰說的算還真不一定呢
: 台灣對大陸順差破1500億美元，最大貿易順差來源地。如果沒有大陸，台灣對外貿易將出
: 現巨額貿易逆差，你早就去街上要飯了。別綁架2300萬台灣人，打著民主旗號舔洋腸挾割
: 據政權吃香喝辣的就你們塔綠班，看看檯面上那幾隻腦滿腸肥的塔綠班，嘖嘖嘖
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 115.165.209.7 (臺灣)
"
"heinse","[新聞] 諾貝爾和平獎得主 芬蘭前總統阿提沙利二","Thu Dec 30 21:45:11 2021","203","84","1.新聞網址︰
https://www.cna.com.tw/news/aopl/202112300394.aspx
2.新聞來源︰
CNA中央通訊社
3.完整新聞標題
諾貝爾和平獎得主 芬蘭前總統阿提沙利二度染疫住院
4.完整新聞內容︰
首頁 / 國際
諾貝爾和平獎得主 芬蘭前總統阿提沙利二度染疫住院
2021/12/30 21:04（12/30 21:14 更新）
https://imgur.com/UftKEKt.jpg
芬蘭前總統、諾貝爾和平獎得主阿提沙利的基金會30日表示，阿提沙利確診COVID-19住院
，這是他二度染疫。（圖取自芬蘭總統府網頁presidentti.fi）
（中央社赫爾辛基30日綜合外電報導）
芬蘭前總統、2008年諾貝爾和平獎得主阿提沙利（Martti Ahtisaari）的基金會今天表示
，阿提沙利確診COVID-19住院，這是他二度染疫。
84歲的阿提沙利首次感染COVID-19（2019冠狀病毒疾病）是在2020年3月。
阿提沙利的基金會表示：「阿提沙利總統狀況還好，但在醫院接受治療。」
阿提沙利於1994至2000年間擔任芬蘭總統，他因為在調停印尼、納米比亞、北愛爾蘭和巴
爾幹半島等衝突的長期貢獻，在2008年榮獲諾貝爾和平獎。
阿提沙利因罹患阿茲海默症（Alzheimer's），今年9月宣布退出公眾生活。
（譯者：劉淑琴/核稿：陳政一）1101230
5.附註、心得、想法︰
不知道他老人家第一次染疫後
還有沒有再完整接種疫苗
畢竟看了其他家外媒
目前都沒有看到有寫疫苗接種的部分
不過他也八十幾高齡還有阿茲海默症
希望他能沒事
※ 「Live」、「新聞」、「轉錄」此類文章每日發文數總上限為3篇，
   自刪與板主刪除，同樣計入額度 ※
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.227.87.190 (臺灣)
"
"vikk33","[轉錄]  打造台灣共和國——我們的分析與願景 ","Thu Dec 30 20:22:51 2021","100","6","1.轉錄網址︰
※ 網址超過一行 請縮網址 ※
https://reurl.cc/2D4y7E
2.轉錄來源︰
※ FB公眾人物、FB粉絲團名稱、其他來源 ※
 International Socialist forward
3.轉錄內容︰
※ 請完整轉載原文 請勿修改內文與編排 ※
統獨之爭與國族認同——不是中性選擇題，而是一個反壓迫運動
作為致力於推動建立具備群眾影響力之左翼政黨的馬克思主義者，絕不能無視在我們所身
處的地區之中，群眾所懷抱的各式反壓迫情緒——這不僅攸關著我們是否能爭取更多進步
群眾親近、走向我們的政綱與旗幟，更關乎著我們是否能讓馬克思主義思想與社會主義理
念在這時代中重新深入人心。
因而，當代活在地表上的馬克思主義者總是以最靈活與積極的態度介入在爭取性別平權、
對抗種族歧視、推動能源革命與氣候正義的運動中；當然，也包括著爭取民族／住民自決
權、對抗民族／住民壓迫的運動[1]。
在台灣，廣泛的群眾對於中共獨裁政權打壓台灣及意圖吞併台灣的野心感到不滿、憤怒、
恐懼，同時其中亦有部分進步群體因著對民主權利與民族／住民自決權的認同與追求而期
待著有朝一日能夠以「台灣共和國」來取代「中華民國」，實現真正的台灣獨立。這樣的
群體之人數亦伴隨著台灣民主化的這一事實而成為長期增長的政治趨勢；近兩年又因著香
港民主運動對中共獨裁的反抗及中美帝國主義衝突成為世界資本主義發展主旋律後而得到
強化。
對於中共政治打壓與意圖吞併台灣的野心，之所以引起廣泛群眾的不滿、憤怒與恐懼，主
要的原因乃在於害怕失去既有的資產階級民主權利[2]，其次的原因才是各類政治與歷史
因素——包括對台灣獨立的追求、中美衝突中的站邊押注、國民黨反共政策的歷史遺緒
[3]等——交互混雜。
相對而言，對比起主張對中共獨裁屈服、歸順、或是「打不還手，罵不還口」的保守傾向
而言，對中共獨裁的打壓與吞併野心抱持著憤怒與不滿、積極抵抗與批判獨裁政權的傾向
則毫無疑問更為進步些——而抱持這類立場之群體，往往普遍在環境保育、性別平權、反
對種族歧視與勞工運動等進步運動中抱持著相對更為開放與同情支持的取態。
上述這類群體，其中有越來越多人正走向支持以「台灣共和國」來取代「中華民國」的政
治立場上，這類立場也就是嚴格意義上的「台灣獨立」。
「台灣獨立」這一政治主張，崛起於台灣歷史上反國民黨獨裁的民主運動之中，而在2014
年反服貿運動後進一步擴散爲進步群眾之中的一種「模糊之政治共識」——因為這共識背
後仍有相當多的政治分歧。但毫無疑問的，自2014年來至今，以「台灣」之名來稱謂所身
處之國家與國籍身份，已經成為了多數台灣人民的共識——而「中華民國」這一充斥著白
色恐怖與軍事獨裁惡行的政治旗幟，也是國內多數保守主義者與中國國民黨所恪守的腐臭
招牌。
我們馬克思主義者絕不應該無視「中華民國」這一政治招牌在其擁護者之中與「親近中共
獨裁」、「反對性別平權」、「擁護核四」等保守主義政治主張的內在聯繫。
若比照國外的政治實例，，我們可以這樣形容：擁護「中華民國」這一旗幟之人，若不是
出於某些少有的拜物教與無知謬想，那麼其實在許多方面皆可類同於支持川普的美國保守
右翼群體。
在懷有社會進步願景與理想的群體之中，對於「中華民國」抱持好感的意識形態是極其少
見的——就像在美國的進步群眾之中，絕對難以見得揮舞美國南方邦聯旗之人。令人惋惜
的是，在台灣國內能夠體認到美國邦聯旗與中華民國國旗背後擁護者之政治傾向的相似性
之人或團體，為數並不多。在台灣的政治局勢與立場之中，支持兩岸統一或台灣獨立、認
同「POC」或「ROC」或「TW」，絕不是一種價值均等的選擇題，背後乃是蘊藏著不同的政
治傾向與實質意義。
在上述的說明中，相信讀者已經能夠明白，作為推動社會進步與反壓迫、反剝削抗爭的馬
克思主義者，是絕對不能夠在這一政治問題中採取模凌兩可、含糊不清的立場。而正確的
答案也只有一種正確組合，那就是「TW／台灣獨立」。

我們對「台灣獨立」的支持與主張
在我們所身處的這個時代中，作為基本民主權利之一的「民族／住民自決」仍未在這個世
界資本主義制度下得到滿足與完成。出於不同的歷史因素與緣由，在這世界的許多地區、
民族之中，仍存在著鮮明、強硬、堅決的民族獨立心願甚或群眾運動。可以說，民族解放
鬥爭，仍是這一個時代中不可忽視、必須重視的政治任務。
在我們所身處的台灣之中，「台灣獨立」這一政治傾向主張，也早已成為好一部分台灣群
眾的政治心願。「台灣獨立」這一傾向主張，又可分為兩種政治層次，廣泛的來說，是不
要讓「台灣」淪為中共獨裁政權的領土；更深層且更為進步的，則是主張要以「台灣共和
國」來取代「中華民國」。
對於我們國際社會主義前進而言，自詡為馬克思主義者的我們所支持的「台灣獨立」，不
僅僅只是不讓台澎金馬淪為中共獨裁政權的魁儡、附庸、領土，更包含著建立一個嶄新的
「台灣共和國」。
我們主張建立一個嶄新的「台灣共和國」，所要實現的是台灣這一民族/住民之群體的民
主權利，更包含著對於各項民主權利的徹底落實。
在今天的「中華民國」政府之下，仍是殘存著許多黨國遺毒，不論這種遺毒是人還是法。
從人而言，舊時代的黨國權貴其家族子嗣的政治影響仍甚是深遠，過去曾作為黨國獨裁統
治之地方侍從的地方派系雖已不為侍從的角色，卻也仍把持著許多縣市地區的政治權力與
產業——當然最近媒體輿論聚焦關注的台中顏家自是一例，卻也僅是冰山一角。從法而言
，單單是禁止工會組織發起政治罷工與聯合罷工、集會遊行法尚未廢止，甚至是「中華民
國憲法」之繼續存在本身亦是黨國遺毒的具體表現。

「台灣獨立」這一問題是左翼的試金石
對於「台灣獨立」問題抱持著猶疑不決、模凌兩可或敵視的態度，終將在臺灣的未來發展
中被進步群眾所唾棄。有為數不少在台灣發表政論、參與社運、學術活動的泛左翼/自由
派團體與人士，往往將「統獨」問題視為假議題、視為藍綠兩黨分裂台灣工人階級與基層
群眾的工具、視為轉移群眾視野的標的，這樣的想法簡直荒謬至極——他們往往埋怨著台
灣政壇被統獨/藍綠所主導、左右之爭上不了檯面。
但最根本的問題，是他們無力也無能提出一個明確且堅定的立場，而寧願把頭埋進名為孤
芳自賞的沙子裡頭。對於台灣基層群眾與工人階級而言，對於整個台灣資本主義社會而言
，統或獨皆是代表著截然不同的未來與遭遇，而所謂的「維持現況」，事實上僅代表著走
向統一或者是獨立的動態過程。
如果智商具有正常水平、具備常識、皆能明白，台灣若淪為中共獨裁政權的領土，那麼不
僅既有的民主權利將徹底喪失，生活水平也將受到巨大的衝擊與惡化——香港就是一個活
生生的例子。
然而，在追求台灣獨立的征途上，將有助於促使台灣的進步勢力與群眾為更徹底的民主權
利與社會改良而打拼，並且在這過程中發展成（也必須）獨立於藍綠白之外的政治力量。
如此才有可能不讓中共對台戰略贏得人心、不讓中共代理人成為政府首腦，並且有足夠的
力量來以「台灣共和國」取代「中華民國」。
在當前的台灣社會內，統獨問題並不是單純的國族之爭或身份認同對抗，究其本質而言是
「資本主義獨裁制」或「資本主義民主制」之爭。身為馬克思主義者的我們，要在這個反
對獨裁制的政治戰場上建立一個守護既有民主權利，但不滿足於資本主義民主制的社會主
義民主派[4]，並推動一個真正能建立新共和國的群眾性左翼政黨。

「台灣獨立」是否就代表著兩岸戰爭？
過去與現在，許多輿論紛紛講述著一旦台灣真的「獨立」[5]了，這將很可能引來中共對
台軍事戰爭。
但有趣且諷刺的是，端看如今兩岸的現況，身處在台灣的「中華民國」也早已是獨立在中
華人民共和國之外的另一主權獨立之國家，雖然它是憑藉著佔據台澎金馬與1950年美國的
扶持援助才維持了它的延續至今。
也因此，若以台灣共和國取代中華民國，對中共而言事實上也僅是併吞目標的更名改姓罷
了——正因為如此，對於中國共產黨而言，不論是獨立於中共的中華民國抑或是台灣共和
國，它一律視之為「台獨分裂勢力」。然而，中共之所以如此張牙舞爪的恫嚇威脅要消滅
「台獨勢力」，乃是出於為維護其獨裁統治的民族主義權威與歷史包袱下的「不得不說、
不得不恫嚇」——不承擔這個過去的歷史包袱，中共高層的權威將受到質疑與貶損，但若
真要大動干戈的解決台灣問題，也絕對是一個愚蠢且招致亡國亡黨的舉動。
在我們看來，面對兩岸問題，中共高層常言道「盡最大努力追求和平統一，不放棄武力手
段解決問題」。事實上僅有前面一句為真，後一句則為紙老虎的虛張聲勢。
在今日的世界時局中，姑且不論核子武器所帶來的「恐怖平衡」，單就中共的軍事實力而
言，都遠不能壓倒性的戰勝在「中華民國台灣」[6]身後的美日等帝國主義勢力，也絕無
可能不費代價的以軍事侵略行動就輕易拿下台澎金馬。
在中國共產黨的國家治理方針之中，最為關鍵的是維持獨裁政權的延續與不間斷的提升中
國總體國力與普遍居民生活水平——這是使中共獨裁政權得以延續統治、收買民心，或將
社會不滿壓抑在可控區間內的核心任務。
這也就是為什麼以習近平為首的中共高層會將「共同富裕」作為重要施政方針，將全面脫
貧作為重點執政工作，將科技自主成長與打造製造業強國作為國家發展方向的原因。對於
中國資本主義而言，要真正能問鼎世界霸權，它得先大舉提升居民文化與生活水平與成為
世界產業鏈中的頂尖掠食者。
然而，中共若是冒險的展開對台軍事侵略，這將可能為中國的經濟、社會的安定、居民的
生活與生存、獨裁統治的正當性，帶來巨大的衝擊與破壞。
這意思是，中共若對台動武，中國絕不可能安然無恙，必將付出重大的慘烈代價——不論
是經濟的、政治的或人口的後果嚴重性皆然。由此可見，對台進行軍事侵略，完全有違中
國的國家發展利益，也將給中國共產黨帶來災厄。
習近平或拜登都不是瘋子，沒人真的想開戰，雙方都清楚知道，這個代價最嚴重可以是第
三次世界大戰。然而，雙方卻也絕不能率先示弱稱臣，自願放棄其勢力範圍與帝國權威。
當前中美帝國主義衝突的本質乃在於國家實力與經濟、科技上的對抗競賽，而非訴諸於實
實在在的「你死我活」。
進一步而言，台灣在世界資本主義供應鏈/經濟中所扮演的角色、在中美衝突中的重要地
緣政治位置，以及作為美帝國主義忠誠且重要的附庸而言，台灣若是遭受中共軍事侵略，
這對於整個世界資本主義——尤其是美國帝國主義而言——都是巨大的不可承受之重。
因此，對於美帝國主義政府而言，它們固然不想看到兩岸爆發戰爭，但如果兩岸爆發戰爭
它也絕無避戰的空間，並因此被迫捲入這場將重創世界經濟的兩岸戰爭之中。
一旦局面如此發展，中國共產黨及其政權將因著對台軍事侵略行動而付出亡國亡黨的致命
代價，甚至在戰爭還未完結前，已先爆發嚴重的內部分裂或政權垮台。
所以，擔憂恐懼著中共對台開戰的人們，恐怕是誤以為習近平與拜登都是蠢人愚夫，或者
是嚴重低估了中美雙方高層的智力。簡單來說，中共對台開戰，最大的輸家將是中國共產
黨及其政權，而整個世界、包含美國，也都將付出慘痛代價。
事實上，中共要能夠「統一&吞併」台灣，唯一合理且能制勝的戰略路徑，便是在其國家
經濟實力與科技發展水平、居民生活水平上之各方面皆能強大於美國，形成新的世界霸主
。如此，中共甚至可能不戰而屈人之兵，讓台灣自願臣服。問題是，中共帶領下的中國，
真的有能力在科技、生產力、居民生活水平與經濟實力、軍事實力上都強大於美國嗎？以
我們來看，在當前可見的未來中，這機率仍是很小的。

要一個什麼樣的「共和國」
在我們的政治主張與願景中，我們認為有朝一日必然能夠以台灣共和國憲法來取代中華民
國憲法，將國名改為「台灣共和國」等等，這自是台灣社會與民主進程的重要突破。但即
便如此，我們真正所要追求的「台灣共和國」，絕不僅是正名制憲、改旗易幟而已。
我們認為，一個真正能讓每一個台灣人民都能夠成為這個國家主人（公民）的新共和國，
不僅必須讓每一位台灣人民的生存與生活都獲得安妥的保障，並獲得充足的全人發展；更
是必須消除現存的少數台灣人或外國人剝削、壓迫、掠奪大多數台灣人民同胞的社會關係
，讓每一位台灣人民（公民）都真正的成為這個國家的主人，而不再是少數台灣有權有錢
者的奴僕社畜。不能再讓一個嶄新的「台灣共和國」有如「中華民國」一般，是一個由少
數政商權貴主宰的愚民社會。
以上這樣的願景要能實現，就必須使台灣社會的經濟收益與發展成果服務於台灣人民們的
需要、投資於台灣人民的教育與專業技能、醫療、住房、養老等公共服務與保障。
使「整個台灣」成為台灣共和國公民的集體財富，而不是讓「整個台灣」淪為少數權貴的
「社畜農場」[7]，這樣也將使台灣社會的科技、生產力、經濟成長、文化水平、人民質
素獲得巨大的成長——進而讓全體台灣人民都能真正的做一個人，做自己與這個社會／國
家的主人，而不是淪為少數奴隸主的工資奴隸或社畜。
過去與現在，少數的剝削者、掠奪者合法竊取了絕大多數台灣人民的勞動成果與集體財富
。未來，在我們所要追求的新共和國之中，台灣人民（公民）們將成為那集體勞動成果與
經濟成就的共同主人，並由公民們民主的選任合適的領導者、管理者、專家學者、官吏，
來帶領推進整個國家的進步與經濟發展。這就是我們國際社會主義前進理想中追求的「台
灣獨立」！
這一個我們所追求的「台灣獨立」，將成為一個真正的「台灣公民」們與世界各國的基層
人民、勞動者一同打造新社會、新世界的跳板。

[1]在爭取民族自決權與民族平等的歷史上，馬克思主義者的國際主義政策，曾鼓舞了無
數受壓迫民族與殖民地人民，並帶領其對抗帝國主義／資本主義的壓迫。令人遺憾且惋惜
的是史達林主義的崛起與蘇聯工人國家的官僚化最終扭曲了真正的國際主義、且使自身成
為受壓迫民族解放鬥爭的阻礙之一。
[2]普選權、言論自由、結社與集會自由、思想與政治自由等權利。
[3]毫無疑問，今日的中國共產黨絕非是一個共產主義政黨、也並非反資本主義的政治勢
力，其前身在改革開放前也主要是一個維護該國官僚統治的史達林主義政黨，。出於維護
黨國官僚統治延續的目的，在過去的歷史上它帶領中國社會從官僚計劃經濟走向市場經濟
與資本主義。當今習近平所推動的共同富裕與對於部分資本巨頭的整頓，乃是藉由強力調
節貧富矛盾、提振社會大眾消費力與生活水平，並將資金趨勢導向有助於中國走向「先進
製造業強國」的產業領域之中，藉此來幫助中共獨裁統治得以相對穩定的延續下去，使中
國帝國主義得到近一步真正的國力提升。
[4] 這意味著，不僅要捍衛資本主義民主制下的各項民主權利，更要進一步追求社會運作
與經濟活動的民主化，保障每一個社會成員都能夠擁有體面的生活水平與相應的公共服務
保障。
[5]在此意義上，意味著以「台灣共和國」取代「中華民國」。
[6]這樣的國家認同定性，出自於民進黨政府當前的中間政策，企圖以此在兩岸問題上突
出台灣的主體性，但也不反對、不取消中華民國的存在。有別於「中華民國在台灣」論，
在此定性中，台灣從「地區」之概念，上升為「國名」的一部分。
[7]一個由少數人壓榨剝削大多數人勞動成果，並壟斷社會財富、把持政治權力、替眾人
決定明天、愚弄大多數人（社畜、工資奴隸），而大多數人（社畜、工資奴隸）的生活水
平遠遠不及那少數人的資本主義社會。

4.附註、心得、想法︰
※ 40字心得、備註 ※
其實今天的世界
是中國權貴資本主義
與全世界勞動者的戰爭
中國圖騰作為一個國共聯手泡製的極右認同圖騰
必須是以如同第二次世界大戰般的奮力一搏
才能終結
※ 「Live」、「新聞」、「轉錄」此類文章每日發文數總上限為3篇，
   自刪與板主刪除，同樣計入額度 ※
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.226.71.232 (臺灣)
"
"Capital235","[討論] 顏阿公要怎麼輸","Thu Dec 30 18:28:51 2021","83","83","顏阿公要輸 只能期待返鄉投票能多一點
問題是 大學生快期末考 也快接近過年
返鄉投票的意願高嗎？ 我是不樂觀
不要小看顏阿公的陸軍 雖然說鬆動了 但實力還在
雖然民調差很近 但顏阿公應該不緊張
因為他知道 返鄉投票的人數不多
到時靠陸軍就能輾壓對手
到底顏阿公要怎麼輸呢？
----
Sent from BePTT on my iPhone 11
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 203.67.49.179 (臺灣)
"
"gn1384181","[討論] 2021年各國火箭發射統計","Thu Dec 30 17:19:32 2021","14","24","https://i.imgur.com/nXJmdRq.jpg
塔綠班發射的飛鼠呢?
塔綠班最愛酸中國的火箭發射失敗(結果人家發射53次也才失敗3次)
中國發射的火箭最多，成功率也是超級高的XD
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.246.92.190 (臺灣)
"
"maikez","[新聞] 脫序發言！吳怡農忘詞看筆記、扯蔡英文襪","Thu Dec 30 16:02:06 2021","207","154","
記者蘇晏男／台北報導
民進黨中常會昨召開「靜昶守護 終結惡鬥」記者會，力挺立委林昶佐及為台中第二選區立委補選候選人林靜儀拉票。不過，民進黨台北市黨部主委吳怡農開場致詞時，忘詞、開總統蔡英文玩笑等脫序行徑，另成焦點。對此，國民黨台北市議員游淑慧狠酸，腦容量不夠？宿醉？或卡到陰？真的挺好笑。
吳怡農29日為民進黨「靜昶守護 終結惡鬥」記者會開場，在短短約6分鐘的致詞中，前半部表現卻顯得脫序。吳怡農上台向現場來賓打招呼後，表示要談三件事情，第一，是希望這次是最後一次的罷免跟補選，自己拜訪許多人，每個人都覺得沒有罷免林昶佐的理由。
停頓一下，吳怡農說，選舉不等於民主。然而剛講完一句話，吳怡農又卡了，舔純抿嘴後才繼續表示，一個社會、政黨及任何參選的人，如何看待選舉結果，是凸顯民主素質的重要指標。語畢，吳怡農第三度停頓。
吳怡農又指，小時候上公民課，參選就像要有運動家精神，勝不驕敗不餒，但從過去這段時間一而再，再而三，或許為了個人因素、家族利益，每次罷免凸顯民主素質完全不及格，可是相信中二選區及中正、萬華選區的選民素質不只這樣，希望大家一起終止罷免，一系列鬧劇到此為止。
接著，吳怡農才剛說：「今天想跟大家談第二件事情。」吳怡農又停頓了，他抿嘴、對鏡頭眨眼睛，嘖了一聲後，低頭往下看4秒，又轉頭看向台下一旁的蔡英文、林昶佐、林靜儀等人，叫了一下「雙林」；當大家以為吳怡農要繼續講第二件事情，但他卻說：「我突然間忘了我要跟大家談什麼事情了。」引來台下一陣笑，吳自己也在台上尷尬笑著。
令人跌破眼鏡的是，吳儀農下一句說：「我想說今天原本焦點會在總統襪子上面。」一講完，自己還呵笑2秒。吳怡農脫序行徑還沒結束，他強調自己時間有限，只有三分鐘，卻當要繼續跟大家講「一件事」時，又停頓了，直接表示，「我還是看一下我的筆記好了。」接著，吳怡農就穩定地發言到致詞完畢。
吳怡農約3分鐘的脫序行為成為記者會另個焦點。對此，游淑慧30日下午在臉書酸吳怡農，「腦容量不夠？腦部當機？宿醉？或…卡到陰？真的挺好笑。口乾舌燥和短期記憶喪失，是什麼症頭？」
新聞來源：
新聞網址：https://www.ettoday.net/news/20211230/2158176.htm?from=ettoday_app
備註：不知道是宿醉還是被林靜儀帶笨了，記不得就看稿啊，這樣講奇怪的話就U質嗎，自以為幽默真的搞笑
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.12.29.238 (臺灣)
"
"aaaba","[新聞] 俄要北約停止東擴遭打臉 烏外長 :","Thu Dec 30 14:55:56 2021","420","47","俄要北約停止東擴遭打臉 烏外長 :「瘋子戰略」若同意將成歐盟史上最大恥辱

newtalk 蔡宛臻
https://newtalk.tw/news/view/2021-12-29/688858
俄羅斯（28）日明確提出「要求北大西洋公約停止東擴」，遭到烏克蘭外交部長德米特里
·庫列巴質疑，還以「瘋子戰略」指責俄羅斯，另外，北約秘書長也聲稱 :「北約從未向
任何人承諾過不會擴大規模」讓俄羅斯氣憤喊 :「厚顏無恥的欺騙。」
據《俄羅斯電視台》(RT) 28 日報導，俄羅斯明確提出要求北大西洋公約停止東擴後，遭
到烏克蘭外交部長庫列巴質疑，指稱「不相信美國和北約會同意俄羅斯提出的要求」，並
表示同意這些要求會鑄成美國和北約自歐盟成立以來歷史上「最大的恥辱」。
不僅如此，在俄羅斯公佈有關安全保障協議建議的原因時，庫列巴還以一個外交術語「瘋
子戰略」來指責俄羅斯。
 庫列巴表示，外交中有一個術語「瘋子戰略」。也就是說，向你的同伴表明你瘋了，準
備做任何不可預知的事，因此，你會受到特別溫柔、柔和的待遇。
美國與北約近期頻頻針對俄羅斯發起指責，認為俄國近兩個月在靠近烏克蘭的邊境地帶集
結大量軍隊，有「入侵」烏克蘭之勢，西方國家同時警告，一旦俄方對烏克蘭採取軍事行
動，美歐將協同對俄施加嚴厲制裁。俄羅斯與美國等西方國家在北約東擴問題上的對抗愈
發激烈。
俄羅斯外交部 17 日公佈了兩份文件內容，除了要求排除北約進一步東擴、美方不在非北
約成員國的前蘇聯加盟共和國領土上建立軍事基地、且不與這些國家發展軍事合作、還要
北約承諾不把烏克蘭等國納入北約。
北約秘書長延斯·史托騰伯格則在 23 日回應俄羅斯提出的安全建議時聲稱 :「北約從未
向任何人承諾過不會擴大規模」。同日，俄羅斯總統弗拉基米爾·普丁在年度記者會上表
示 :「北約欺騙了俄羅斯，因為北約曾在 20 世紀 90 年代承諾不東擴，結果五波東擴，
北約已推進到俄羅斯邊境」。普丁指責，西方國家現在開始說烏克蘭也將加入北約，這是
「厚顏無恥的欺騙。」
俄羅斯和美國政府確認，雙方定於明年 1 月 10 日舉行安全事務對話，討論彼此軍事活
動和如何應對烏克蘭局勢等議題。

備註：
四天前，普丁對國內發表談話：
「北約提供烏克蘭的導彈4、5分鐘就到莫斯科 我們退無可退！」
似乎在為入侵烏克蘭找藉口。
而普丁這一連串暗示要掀起戰端的行為，就是本新聞所謂的「瘋子戰略」。
值得觀察的是美國將採取什麼行動，既能夠不升高對立、也不讓瘋子予取予求。
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.217.49.103 (臺灣)
"
"miler22020","[討論] 柯文哲為什麼都不會嘴賴清德?","Thu Dec 30 14:08:06 2021","569","88","
柯文哲
誰都愛嘴
但好像看他很少嘴賴清德
是因為之前賴清德  不相信器捐案?
還是兩人私底下有交情?
柯文哲跟賴清德出席猶太活動
直接跟他說  long time no see

兩人關係看似還不錯?
https://bit.ly/3sFMuGV
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 73.35.250.157 (美國)
"
