"author","title","post_time","like","hate","article"
"yoche2000","[閒聊] 韓星板 2021年十二月 置底閒聊文 II","Thu Dec 23 11:03:41 2021","484","171","https://youtu.be/vDxD4HwEFdY
2021 最後一篇閒聊文，祝各位聖誕節快樂。
在西方有人會戲稱聖誕節是 Mariah Carey Season
(因為其膾炙人口的歌曲 All I want for Christmas is You)
而在深受西方文化影響的韓國 聖誕節也是極其重要的節日
本人願望之一就是在韓國過聖誕節 (但目前都事與願違就是了)
韓國樂壇更有許多聖誕節相關的歌曲
以下是 Spotify 整理的一百首季節性KPOP歌曲
https://open.spotify.com/playlist/37i9dQZF1DWVbb8LK4P3Mg?si=d219cb13c22343b6
不妨在這個時期透過音樂感受一下聖誕節的氣氛
祝大家佳節愉快
--
  ◣ ▋ ◣ ／╲﹨ ▊ ▂ 
   ◢ ◣▃▄ ▅  ◢ ▄  ▋▄▅▄ ▄ ▃  ▋╲ \ \▊▎/◢ 
   ▎ ▄ ▉ ▍▏ ▎▄▂   ▍ ▋ ▄▃ ▎ ▎▏▊▊◢ 
  ▆◢▊▉ ▊ ▌ ▂ ▂▃ ▍▏▎ ▊▎▆ ▃ / ▅▁ ▅ 
  ◥ ◣ ◤    ◥ ◥   ▃◥◤ ▇ <R U Ready?> 
 ▇ ▇ ▇     ◥▄▆◤               LOVELYZ 2nd Album 
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 202.82.130.117 (香港)
"
"Master5566","[閒聊] （補道歉文)Big Hit練習生自作曲的歌詞內容引發爭議且疑似抄襲","Wed Dec 29 18:18:47 2021","39","43","
Big Hit練習生自作曲的歌詞內容引發爭議且疑似抄襲
https://tinyurl.com/5yck2dk3

(原標題為: 海外粉絲希望出道前可以先去學習道德的Big Hit練習生)
表演影片
https://youtu.be/GkeJ8O0_1gs
(圖片左邊白底為外國歌手的歌詞
右邊黑底為該練習生自己創作的版本)
這個Big Hit練習生是來自澳洲的LEO
他說歌詞都是自己寫的
但歌詞實在很沒水準
所以希望寫出這種歌詞的人
在出道之前能先去學習道德
而且內容跟Playboi Carti 'STOP BREATHING'的歌詞十分相似
聽了歌曲的話會覺得更像
大家覺得有抄襲的嫌疑
Playboi Carti - STOP BREATHING
https://youtu.be/DQDFG114jhg
-----------
補充LEO創作這首歌的靈感:
他說自己最近有點火大
所以想把那種情緒拿來創作成歌曲
也請大家不要太在意歌詞
要注重的是歌曲整體的感覺
https://twitter.com/i/status/1475886753135448070
來源: theqoo　https://theqoo.net/2293528919
1. Rap的人如果不把女人寫進去歌詞裡面就沒辦法rap了是嗎?
2. HYBE只是規模變大了而已，實際的作為甚至比中小公司還糟糕
3. 其他公司也有類似的情況吧? 有爭議的練習生最後還是成功出道了... 反正公司自己
會看著辦吧
4. 歌詞就先不管了，我覺得他連rap都不太會耶╕╕╕╕
5. 聽說他快要出道了? 看來真的是什麼人都可以出道耶╕╕╕
6. 公司原本是不讓練習生用SNS的，改變策略後結果出大事了╕╕╕╕╕╕╕╕╕╕╕
7. 罵女人是他心目中的SWAG嗎?╕╕╕╕
8. 像Big Hit這樣的公司有防彈真的是很幸運的事，防彈會成功絕對不是因為Big Hit
培養得好
9. 歌詞是怎麼回事.... 像性犯罪一樣，好噁心
10. 公司裡面難道完全沒有人會講英文嗎
11. 為什麼要培養這種人? 公司就那麼沒有人才嗎?
12. 他好像是韓裔澳洲人，從小在國外生活，很喜歡嘻哈，因為年紀還小，所以才用
虛張聲勢的方式寫出這種歌詞吧，希望以後創作的時候能更注意一點
13. 真的對經紀公司好失望.. 如果讓這種練習生出道的話，就太說不過去了
14. 公司就這樣幫忙上字幕我也覺得很震驚，大家都不覺得有問題嗎?
15. 歌詞好低級啊，希望盡量不要讓外國人加入K-POP團體，他們的情緒和文化也不一樣，
很難融合。而且外國成員動不動就惹事，還有很多會落跑的，希望能像防彈一樣只由
韓國人組成
(轉載請註明出處，謝謝~)
cr. 韓網評論翻譯站
-------------------------------------------------------------------

Big Hit練習生就歌詞爭議道歉
https://tinyurl.com/ddw4jyn2
-----------------------

大家好，我是Leo。
我想對因Showdown第一集中公開的歌詞而感到冒犯的所有人表示
誠摯的歉意。
雖然只是小比賽，但因為是要和其他練習生相互競爭的情形，我想著
要給人留下深刻的印象，沒有想太多，就這樣將不恰當的字詞寫進了
歌詞中。我完全沒有貶低任何人的意圖，但我知道我的表現和想法真的很不成熟，
而且是錯誤的行為。我的不足造成很多人的不適，非常對不起。
現在回頭看我的歌詞，覺得自己很慚愧。但畢竟是已經發生的事情，我一定會深刻反省
自己的錯誤，並以這次的事件作為契機，會努力避免以後再出現這樣的失誤。
這次的事件讓我重新檢視音樂和舞台所具有的意義和影響力，是非常
重要的契機。再次向因我的不成熟行為和表現而感到不快的所有人
表示由衷的歉意。
-----------------------
來源: theqoo　https://theqoo.net/2294634094
1. 這道歉文我重看一遍還是覺得很搞笑，用了那麼多髒字，沒有貶低的意圖不然是什麼?
2. 把那麼低級的字寫進歌詞裡，還要等到受到指責了才知道有問題，這個讓我更驚訝
╕╕
3. 會寫出這種歌詞的人，人品會有多好?
4. 如果他是練習生的話，當然要把他踢掉啊，不然出道後他一定會出問題
5. 這不叫做給人深刻的印象，而是他平常的思想就是那樣
6. 如果他真的出道的話，一定也還是會有粉絲，而且粉絲還會拿這個道歉文來護航
7. 好好向前輩學習吧
8. 更讓我驚訝的是公司看到這種歌詞後，完全沒有人覺得要過濾掉..
9. 還好是在練習生的時候就爆出來了... 現在趕快踢掉他吧
10. 不覺得有問題就上傳那段影片的公司也讓人很無言
11. 最近的偶像讓我覺得有爭議好像是每個人的預設值了，反正只要不是毒品就完全
沒關係╕╕╕╕ 也有那種歌詞引發爭議卻都沒道歉，還是繼續順利活動的人呢╕╕
12. 出道前就有問題的話，出道後難道不會更嚴重嗎...
13. 沒想到已經是2021年了還會有人寫出那種歌詞╕╕╕╕╕╕╕╕╕╕╕╕╕
14. 看他道歉到這種程度了，我覺得我可以體諒他
15. 如果是在無意中寫出那種歌詞的話，難道不是更有問題嗎?
#BigHit #Leo
(轉載請註明出處，謝謝~)
cr. 韓網評論翻譯站
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.169.182.165 (臺灣)
"
"Master5566","[閒聊] TWICE教大家如何拍出好看的新聞照","Mon Dec 27 19:44:55 2021","29","117","
TWICE教大家如何拍出好看的新聞照
https://tinyurl.com/yyvfu4xu
https://img.theqoo.net/img/jmLrT.jpg
https://img.theqoo.net/img/AilfW.jpg
https://img.theqoo.net/img/TdjYP.jpg
https://img.theqoo.net/img/JhrcW.jpg
https://img.theqoo.net/img/IrFnP.jpg
https://img.theqoo.net/img/MUWFo.jpg
https://img.theqoo.net/img/QrTkC.jpg
https://img.theqoo.net/img/BnlGc.jpg
https://img.theqoo.net/img/VSfej.jpg

只要人長得好看就行了
(+ 演唱會幾乎進行了4個小時 這次一樣也是CP值超高)
來源: theqoo　https://theqoo.net/2290418014
1. 志效本人真的超好看，五官非常立體
2. Momo好適合這種造型
3. TWICE的新聞照和站姐照幾乎沒有差別，大家都一樣好看.....
4. 超美的，不僅臉漂亮，身材管理也非常好，跳舞的時候特別漂亮，我在演唱會上
都是一邊感嘆一邊看的
5. 演唱會開4個小時? 太划算了吧
6. Sana太瘋狂了吧............. 又性感又優雅，應有盡有....
7. 真的是花園... 大家都超美 TT TT
8. 這些是新聞照??? 大家的外貌實在是太驚人了.. 好漂亮..
9. 我是真的想知道秘訣才點進來看的..
10. 志效是不是瘦了? 怎麼又變得更美了? 真的是永無止盡地美下去耶
11. 中短髮的子瑜好漂亮
12. 但是這樣看新聞照才發現大家都好瘦，平常看音樂節目的時候沒感覺到她們有
這麼瘦
13. 太瘋狂了，真的沒有不漂亮的成員.. 還有志效果然就是要短髮
14. 暈，感覺大家更認真做自我管理了，明明不用那麼認真也很美啊，這樣又變得
更美了.......
15. Mina那張確定不是站姐拍的嗎????? 瘋了，超美的
#TWICE #娜璉 #定延 #Momo #Sana #志效 #Mina #多賢 #彩瑛 #子瑜
(轉載請註明出處，謝謝~)
cr. 韓網評論翻譯站
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.228.67.221 (臺灣)
"
"manmani","[新聞] STAYC 今天也充滿青春活力(SBS歌謠大戰)","Sat Dec 25 23:13:01 2021","109","79","STAYC 今天也充滿青春活力
STAYC 今天也充滿青春活力，《2021 SBS 歌謠大戰》STAYC 站在Photo Wall前。25日，
STAYC 參加了在仁川南洞體育館舉行的，《2021 SBS 歌謠大戰》。
去年11月出道的今年推出單曲2輯《STAYDOM》，迷你1輯《STEREOYPE》等，作爲四代偶像
的女團而備受喜愛。
Singles Photo
http://www.slist.kr/news/articleView.html?idxno=321248
https://i.imgur.com/K8UvoxD.jpg
https://i.imgur.com/yamkbHl.jpg
https://i.imgur.com/EqqZfgU.jpg
===
211225 STAYC - STEREOTYPE+ASAP (Remixed by Prime Time)
https://youtu.be/P9Gdkg6KpoM STEREOTYPE
https://youtu.be/WMiVu4jhlsk ASAP
https://youtu.be/w9KeuWuo_gA Full Cam
https://youtu.be/D2QsGWyG7Xc 秀珉
https://youtu.be/-_ZKVWqZa3M 蒔恩
https://youtu.be/wZSpMhZxwCs ISA
https://youtu.be/zVBeIgIV1Xo 勢銀
https://youtu.be/OSSecIyS_ow YOON
https://youtu.be/l2Eya1wQqNo J
https://i.imgur.com/npfFwh9.jpg
https://i.imgur.com/4ympUn1.jpg
===
211225 ISA - 女團合作舞台 Fiction
https://youtu.be/jQNEiHzIcX4
https://youtu.be/cfJVQrrOanc Full Cam
https://youtu.be/Q2XnETBRwlQ Fancam
https://i.imgur.com/frY5MSr.jpg
===
211225 秀珉 勢銀 - All I Want for Christmas Is You
https://twitter.com/i/status/1474672094739046400
https://i.imgur.com/pDhawCg.jpg
===
211225 STAYC - Relay Carol
https://youtu.be/pizX3qLsOx8
211222 STAYC - STEREOTYPE (Christmas Ver.)
https://youtu.be/P4ESzejtpOE
https://pbs.twimg.com/media/FHW4dFCacAI4kRq.jpg
===
2021 MMA - 幕後花絮
https://youtu.be/G5eB3s7kYGs
蒔恩遇見IU大哭
https://youtu.be/DZmyK_oz5K8
蒔恩小時候聖誕舞台
https://youtu.be/OyNdy9bjy-U
https://i.imgur.com/uS23lce.jpg
===
1 Sumin 裴秀珉 2001年 隊長 副唱
https://i.imgur.com/ubnhaCc.jpg
https://i.imgur.com/61o4bpL.jpg
https://i.imgur.com/wXZMXsQ.jpg
https://i.imgur.com/qFIvoh5.jpg
===
2 Sieun 朴蒔恩 2001年 主唱
https://i.imgur.com/58uWb2b.jpg
https://i.imgur.com/ns77Cpb.jpg
https://i.imgur.com/KnoHgX7.jpg
https://i.imgur.com/hs8Ysza.jpg
===
3 Isa 李彩煐 2002年 領唱
https://i.imgur.com/x2NfiZH.jpg
https://i.imgur.com/noIqwSp.jpg
https://i.imgur.com/qPmjWlx.jpg
https://i.imgur.com/0VLDA03.jpg
===
4 Seeun 尹勢銀 2003年 副唱
https://i.imgur.com/W5toKwT.jpg
https://i.imgur.com/74Mffrz.jpg
https://i.imgur.com/Z5tUxLL.jpg
https://i.imgur.com/y0anBHS.jpg
===
5 Yoon 沈姿潤 2004年 領唱 忙內
https://i.imgur.com/1w7EafL.jpg
https://i.imgur.com/mezjcQn.jpg
https://i.imgur.com/G4pahs7.jpg
https://i.imgur.com/SyplQJe.jpg
===
6 J 張禮恩 2004年 副唱 忙內
https://i.imgur.com/IQ4CqAq.jpg
https://i.imgur.com/IWdQIGv.jpg
https://i.imgur.com/aRliq5C.jpg
https://i.imgur.com/1oBdqMD.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 14.199.217.36 (香港)
"
"nccucat","[閒聊] GAON 2021 專輯銷售量review","Thu Dec 23 20:38:09 2021","537","177","GAON 2021 專輯銷售量review
原文 https://reurl.cc/Q68KXM
https://imgur.com/rkpIOyr.jpg
上述圖表為自2013年到2021年止，專輯(實體)銷售量400(從第1名開始到第400名的銷量合
計，2021年為第1周~50周截止的結果)今年比起去年(截至第五十週)專輯銷量增加了31%。

https://imgur.com/bd8Gm8S.jpg
上圖表為2013年至2021年間，關稅廳統計的實體專輯出口額依照年度的趨勢(2021年從1月
至11月)根據關稅廳統計，今年的出口額比起去年增加了50%左右。

https://imgur.com/kw4oBjK.jpg
根據關稅廳的資料，今年(1月至11月)對日本的出口比重跟去年比起來減少了12%，中國與
美國分別增加了8%和2%。自2018年以來一直佔據40%出口比重的日本市場占有率減少，這可
以看作是降低了對日本K-POP出口的依賴度。(做為參考，對日本的出口比重雖然減少，但
出口額卻增加了約12%)
https://imgur.com/Lv0LX4p.jpg
(各國家實體專輯出口比重現況 日本、美國、中國)
https://imgur.com/06bcPKM.jpg
2021年1月至11月，根據關稅廳資料，日本、中國、美國3大K-POP專輯出口對象國的月出口
額各國家存在差異，這可能是根據該月發行的藝人新專輯日程。

https://imgur.com/3I0kY5s.jpg
2021年1月至11月，據關稅廳資料顯示，除日本、中國、美國三大K-POP出口對象國外，印
度尼西亞超過臺灣，出口比重升至第4位。出口金額同比增長153%。
https://imgur.com/HEZBzxg.jpg
2021年1月至11月，據關稅廳K-POP出口額資料顯示，歐洲地區的出口額相較去年，英國增
長3%，法國增長36%，而德國和荷蘭分別增加153%和80%，以較大幅度增長。

https://imgur.com/vd46WL9.jpg
2021年累計專輯銷量TOP15
1.防彈少年團
2.NCT 127
3.NCT DREAM
4.SEVENTEEN
5.Stray Kids
6.ENHYPEN
7.TOMORROW X TOGETHER
8.ATEEZ
9.TWICE
10.EXO
11.THE BOYZ
12.伯賢
13.ITZY
14.MONSTA X
15.NCT
從2021年第1周到第50周，各歌手累計專輯銷量統計結果顯示，防彈少年團銷量最多，約
爲720萬張。

https://imgur.com/IFuKccy.jpg
從2021年第1周到第50周，累計專輯銷量男女比例爲男性83.5%，女性16.1%，與去年同期
相比，男藝人的專輯銷量比重增加了3.4%，女藝人的銷量比重減少了3.2%。

https://imgur.com/cKdKUK6.jpg
2021年累計專輯銷量TOP15 - Male (1~50周)
1.防彈少年團
2.NCT 127
3.NCT DREAM
4.SEVENTEEN
5.Stray Kids
6.ENHYPEN
7.TOMORROW X TOGETHER
8.ATEEZ
9.EXO
10.THE BOYZ
11.伯賢
12.MONSTA X
13.NCT
14.ASTRO
15.SHINee
https://imgur.com/ti6Q5cr.jpg
從第1周到第50周，TOP400基準男歌手累計銷量佔有率統計爲防彈少年團15.8%、NCT 127
8.9%、NCT DREAM 8.5%。做為參考，去年同期男歌手的佔有率是防彈少年團28.4%，NCT
127 4.8%。

https://imgur.com/T4DQiYi.jpg
2021年累計專輯銷量TOP10 - Female (1~50周)
1.TWICE
2.ITZY
3.LISA
4.ROSE
5.aespa
6.IU
7.Red Velvet
8.BLACKPINK
9.STAYC
10.(G)I-DLE
https://imgur.com/lrv04cW.jpg
從第1周到第50周，以TOP400爲基準，各女歌手累計銷量佔有率爲TWICE 18.2 %、ITZY
10.5 %、LISA 8.7%。做為參考，去年同期TWICE的佔有率是16.6%。

https://imgur.com/FY4u8cw.jpg
做個整理，
2021年以TOP400為基準專輯銷量最終預計將達到6千萬張左右，比起去年至少增長了31%(
截至第50周)。
從2021年第1周到第50周，累計專輯銷量超過100萬張的藝人有11組，比前一年度的8組增
加了3組。（累計專輯銷量:該藝人的所有專輯銷量合計）從今年1月到11月單張專輯基準
100萬張以上的專輯共10張，比去年的6張增加了4張。
今年K-POP專輯市場整體上對日本的出口依存度減少，出口對象國家數量逐年增加，通過
K-POP出口對象國家多元化，有望實現更穩定的實體專輯市場成長。

文:Gaon Chart首席研究委員 Kim Jinwoo

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.46.16.9 (臺灣)
"
"chenrita54","[新聞] 全昭旻和宋智孝爆乳出席典禮!","Wed Dec 22 15:45:20 2021","126","73","
全昭旻和宋智孝爆乳出席典禮! 兩人不愧是《RM》門面擔當
媒體名稱：娛樂星聞
新聞連結：https://tinyurl.com/yt5kzbfc
新聞全文：
南韓SBS 2021演藝大賞於18日晚間舉行
眾星們都以華麗裝扮出席這場盛會
雖然大神劉在錫因確診新冠肺炎正在家中休養中
但成員們也帶上他的「人形立牌」一同出席
場面相當逗趣搞笑
https://i.imgur.com/iPWjmEE.jpg
https://i.imgur.com/L0gmDup.jpg
身為成員班底唯二女性的全昭旻
當晚就以一襲黑色禮服亮相 並罕見地展露事業線
而且還特別將領口拉至肩線外
偷偷耍了性感的小心機
而禮服腰間的中空透視更增添性感
玲瓏有致的火辣身材超級吸睛
https://i.imgur.com/7wofZic.jpg
而剪了短髮的宋智孝也不落人後
只見她身穿黑色條紋平口禮服登場
與全昭旻的禮服領口也有著異曲同工之妙
同樣展現了傲人的上圍
禮服簡約大方的設計 搭配上她那一頭俐落的短髮
比起以往都多了份成熟的女人味
也讓金九拉在典禮中公開大讚
短髮造型非常適合她
https://i.imgur.com/459tjiF.jpg
心得或評論：
大讚懵姊妹啊!
真的不愧是《RM》門面擔當~
兩位都超美超美的~
智孝是真的很適合短髮啦
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.231.58.25 (臺灣)
"
"bboy0223","[新聞] 應援'雪降花'的BLACKPINK 無知導致的慘劇","Mon Dec 20 20:52:59 2021","379","196","媒體名稱：
新聞連結：https://joynews24.com/view/1434154
(原標：應援美化安企部電視劇'雪降花'的BLACKPINK, 無知導致的慘劇)
記者姓名：鄭智媛
(若有則必須貼出)
新聞全文：
連日以來扭曲歷史、美化安企部的電視劇'雪降花'受到全國民的圍攻. 對歷史無知的藝人
們正在製造慘不忍睹的慘劇.
18日首播的JTBC'雪降花'中男主角背景為偽裝參與民主化運動的北韓間諜, 劇中還有將安
企部部長描繪成正義人士等等內容, 被認為是貶低民主化運動的電視劇.
JTBC方面雖然主張'雪降花'絕對不是貶低民主化運動、美化安企部和間諜的電視劇. 但播
出後(觀眾察覺)劇情超出預期的扭曲了歷史, 男主角是偽裝為參與民主化運動的北韓間諜
, 曾經大肆屠殺國民的安企部被刻劃成對於女性謾罵時會一言不發的人物.
更讓人無言的是藝人明明知道'雪降花'有扭曲歷史的爭議卻紛紛透過SNS留下支持的內容.
BLACKPINK成員接連在IG限時動態上傳為出演'雪降花'的Jisoo應援內容. 忘了自己身為全
球K-POP女團的基礎, 卻像個鬧劇似的向海外粉絲宣傳'請看扭曲歷史的電視劇'內容.
男主角丁海寅在接受某雜誌採訪時表示""雖然我是在1988年出生, 沒有經歷過1987年, 有
很多以當時為背景的作品, 事實上答案都在劇本裡"". 網友們表示以自己為丁若鏞的後代
作為宣傳的演員來說, 透過劇本來學習歷史是非常不像話的回覆.
飾演安企部對共調查1局要員張漢娜的鄭釉珍於自己的IG限時動態分享了""張漢娜登場的時
候好帥""、""張漢娜帥氣爆發""等朋友的動態. 在受到安企部迫害、精神受到創傷的受害者
依然活著的情況下, 鄭釉珍這樣於SNS上對自己飾演安企部角色讚不絕口的行為是因為對
歷史無知造成的慘劇. 人要懂得羞恥才行.
目前於青瓦台上請願""要求停播電視劇'雪降花'""的人數已經突破了24萬人.

心得或評論(選填)：
https://theqoo.net/2282935323

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.167.25.135 (臺灣)
"
"Master5566","[新聞] SBS演藝大賞／最優秀賞唸出梁世燦名字！","Sun Dec 19 11:56:20 2021","507","33","SBS演藝大賞／最優秀賞唸出梁世燦名字！感動致詞《RM》全員泛淚

記者吳孟庭／綜合報導
南韓電視台SBS舉辦的2021演藝大賞今（18日）晚間舉辦，揭曉大獎之一的「綜藝部
門」最優秀獎時，唸出了《Running Man》成員梁世燦的名字，他驚恐地低下頭
來，但成員一聽到全部都跑去摸他的頭、為他加油，在台下時更全起立聽他致詞，
他也當場落下了男兒淚。

https://cdn2.ettoday.net/images/6072/d6072634.jpg
▲梁世燦首次奪下SBS演藝大賞綜藝節目最優秀賞。（圖／翻攝自SBS）
梁世燦一邊擦淚一邊走上台，還沒致詞就先哭，他首先先說，「真的很感謝，我
加入《Running Man》超過5年了，雖然現在也不是說做得多好，
但有4年多的時間真的很迷失，內心相當的痛苦...」邊說邊流下了眼淚。

「因為哥哥們持續給我做反應、幫我笑，說因為我是諧星不要氣餒而一直替我打
氣的《Running Man》家人們，錫辰哥、鍾國哥、哈哈哥、智孝姊、昭旻還有人
在家的在錫哥，以及到今年初都還在一起的光洙哥，對你們相當感謝。」
鏡頭這時照到聽了這些話的《RM》成員，在台下也眼眶泛淚。

https://cdn2.ettoday.net/images/6072/e6072632.jpg
▲《RM》全員在台下也聽到泛淚。（圖／翻攝自SBS）

梁世燦坦白說，「在剛開始拍《RM》時我也想要搞笑，自己一個人做很大的夢，真的
很辛苦，常常苦惱自己的定位是什麼？真的有很多的擔憂，也做了很多努力，時間過
去之後，發現因為哥哥們給我這麼多的愛，才能讓我獲得這個大獎，製作單位也沒
有放棄我，說很有趣、做得很好這樣為我加油所以才能得這個獎，真的很感謝。」

他想起因為確診而無法參加的劉在錫，「今天如果在錫哥在的話就好了，在錫哥說
『今年你不會得獎』，但多虧了哥我得獎了，真的謝謝。」而他的親哥梁世炯也
在場，他也坦言因為兩人都是諧星，「媽媽總是很支持我，有意無意地拿我跟哥
哥做比較，雖然不明顯卻總是在看臉色，我也想對媽媽說聲謝謝，我愛她。」

最後梁世燦表示，「我享受的比我擁有的多得多，以後我會更加努力，就像在錫
哥所說的那樣，我會更專注於給予大家笑聲，明年我也會努力的。」
另外《RM》池錫辰也獲得SBS演藝大賞的名譽社員賞。

https://star.ettoday.net/news/2149579

恭喜

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.44.82.185 (臺灣)
"
"Master5566","[閒聊] 謠傳會在SBS歌謠大戰帶來合作舞台的五位男偶像","Fri Dec 17 20:15:07 2021","481","135","
謠傳會在SBS歌謠大戰帶來合作舞台的五位男偶像
https://tinyurl.com/y3ytr32p

曹承衍1996年生  183cm
https://img.theqoo.net/img/JQjDp.jpg
https://thumbs.gfycat.com/SingleCraftyAnglerfish-size_restricted.gif
https://thumbs.gfycat.com/LittleNarrowAdouri-size_restricted.gif

SF9 柳太陽 1997年生 182cm
https://img.theqoo.net/img/JTgqg.jpg
https://thumbs.gfycat.com/MeatyPessimisticArieltoucan-size_restricted.gif
https://thumbs.gfycat.com/FondCarefulBernesemountaindog-size_restricted.gif

THE BOYZ 柱延 1998年生 180cm
https://img.theqoo.net/img/dopsi.jpg
https://tinyurl.com/4arzk6pd
https://thumbs.gfycat.com/EnormousZestyGroundhog-size_restricted.gif

ASTRO 文彬 1998年生  182cm
https://thumbs.gfycat.com/PitifulHalfGrackle-size_restricted.gif
https://thumbs.gfycat.com/ShrillCompleteDunnart-size_restricted.gif
https://tinyurl.com/4ttzss8k

Stray Kids  鉉辰 (2000年生 沒有官方身高 預測175cm以上)
https://img.theqoo.net/img/ytQfd.jpg

將在23日進行事前錄製
表演的歌曲是據說是東方神起的'Mirotic'
但官方還沒證實
來源: theqoo　https://theqoo.net/2279851030
1. 哇，四個人都很高挑耶，有點野獸偶像的感覺，我愛野獸偶像
2. 我超喜歡曹承衍的音色   每個人都很棒，但最後一個人是怎麼回事
3. 哇，全部都是很會跳舞，音色也很棒的人耶，好期待!! (不懂最後一個人
為什麼在這裡..)
4. 除了最後一個人以外，其他人簡直就是夢幻般的組合，身材、臉蛋和實力都超棒的!!!!
! 超級性感!!!!
5. 前面四個人都是我喜歡的風格，但最後一位...
6. 難道沒有其他身材也很適合的男團成員嗎? 那個人是主舞嗎?
7. 天啊，竟然要表演'Mirotic'，我要瘋了
8. 看到有曹承衍我嚇一跳，他真的超適合'Mirotic'的
9. 太棒了TT TT TT TT TT TT TT TT  我要瘋掉了，怎麼能剛好都把我喜歡的成員集結到
一起呢
10. 他們團裡面還有很多人啊，為什麼偏偏要找有霸凌爭議的呢
11. 扣掉某人之外就完美了
12. 如果最後一個換成TXT的然竣就好了，我覺得他的風格非常適合的說，可惜了
13. 什麼? 柱延、文彬和太陽竟然要合作了? 想出這個組合的人真的太瘋狂了
14. 看來Stray Kids唯一能派出來的就只有校園霸凌的加害者了
15. 都是很會跳舞的成員耶，期待~
(轉載請註明出處，謝謝~)
cr. 韓網評論翻譯站
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.163.22.250 (臺灣)
"
"mon60819","[情報] SBS歌謠大戰 25組 Line-up公開","Thu Dec 16 08:46:23 2021","71","105","https://i.imgur.com/4YfxP8f.jpg
時間
2021年12月25日(六) PM 06:00 (KST)
地點
仁川南洞體育館
MC
Boom、SHINee KEY、ITZY 有娜
出演陣容
NCT 127、NCT Dream、KEY、NU'EST、Red Velvet、THE BOYZ、Stray Kids、ATEEZ、Oh My
Girl、ASTRO、Brave Girls、TXT、ITZY、Minnie((G)I-DLE)、李彩演、WOODZ、柳太陽
(SF9)、aespa、ENHYPEN、STAYC、IVE
特別舞台
Simon Dominic x GRAY x LOCO x LEE HI
* 開放觀眾入場，於16日早上10點到19日晚上11點59分於SBS APP申請
* 工作人員及出演者從前置期到直播當天需進行PCR檢測
* 觀眾須攜帶疫苗完整接種證明書或48小時內PCR陰性證明方可入場
* 除指定座位外，禁止站立觀看、出演中移動位置、喊聲應援等現在非正規公演設施活動
中不許可的觀看行為。
https://entertain.naver.com/now/read?oid=416&aid=0000278094
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.163.207.150 (臺灣)
"
