"author","title","post_time","like","hate","article"
"medama","[公告] 未滿1元集點抽獎資訊集中文  ","Thu Dec 30 14:38:56 2021","100","56","☆如推文有嚴重離題或爭吵情況，板主可視情況刪除推文☆
前一篇置底文
https://www.ptt.cc/bbs/Lifeismoney/M.1639200549.A.EF3.html
另有使用者反應如果推文太長，JPTT軟體移到最底的功能會變得相當緩慢
目前測試結果PiTT和MoPTT的移到最底功能是正常的，
若JPTT使用者有此困擾可向該APP作者反應或改用其他軟體。
近期未滿1元活動及抽獎活動彙整：
momo天天簽到
1. Hami Pay 每5日1點 點數期限至下一季最後一日（感謝temu2015提供資訊）
   https://imgur.com/kIoLAgg
4. Happy Go 每7日1點 點數期限次二月底(可無痛延長)
   Happy Go APP -> 點點出任務 -> 快樂簽到簿
5. 遠傳心生活 每日1幣 點數期限三十日
   遠傳心生活APP -> 心生活 -> 搶好康
   https://imgur.com/1TvjuWj
6. UUPON 每月7日2點、20日5點 點數期限至隔年底(同一般消費)
   UUPON APP -> 每日簽到
-----------------------------------------------------------------
★價值未滿1元之點數文不可單獨貼文，違者視情況刪除
原則上點數價值需以常態折抵無條件限制購物金之最低比例換算。
happygo openpoint uupon等時常有限時優惠兌換活動之點數可放寬標準為：
happygo:2點以上 openpoint:0.8點以上 uupon:2點以上
但以上點數折抵活動若低於此比例，亦不可單獨貼文，違者視情況刪除。
範例：HG簽到集點1點不可單獨貼文，一篇文章內含多個集點1點活動亦同。
但貼文中如有2點以上活動，可順道貼出1點集點活動。
★抽獎活動之點數價值，以最小獎（參加獎）價值為計算基準。
如果最小獎（參加獎）是商品折價券，且折價幅度並未優於當下常態優惠，
則該折價券價值以零元計算。
範例：假設某抽獎活動參加獎是手機滿萬折百折價券，但折價後明顯比市價貴，
或者活動當下已有免費不需抽獎的方式可獲得相同或更優惠之折價券，
則該折價券價值以零元計算。
★連續簽到活動，以單次簽到點數價值計算，3天內平均每次簽到點數價值須1元以上，
第4天後每多一天，平均每次簽到點數價值須增加0.1元
範例：連續30天的簽到活動，平均每次簽到點數價值須為1+0.1*26=3.6元以上，
意即連續簽到30天後總點數價值必須為3.6*30=108元以上。
（所謂連續簽到活動，指的是活動期間中斷簽到則單次簽到未滿一元之活動）
--------------------------------------------------
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.217.34.217 (臺灣)
"
"aaqwluj","[情報] 嬌蘭蜂王乳平衡油 ATOME支付優惠","Wed Dec 29 14:48:50 2021","12","143","剛剛櫃姐跟我說3G大容量組原價5300，使用ATOME支付，滿5000現折500
如果是統領會員再折250，只要4550，還能分三期零利率，等於一個月付1517
https://i.imgur.com/WAIHRJb.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.217.114.166 (臺灣)
"
"diesel1845","[情報] 蝦皮1/1領免運券送51-50","Tue Dec 28 19:48:25 2021","549","151","算是蝦皮明年新年的第一個活動（？
◆ 免運券
全站299免運 x2
https://bit.ly/314s3YM
*12/31前領券，會送全站的51-50購物金，1/1 12:00 自動歸戶，18:00 開始可用
◆ 電子票券（終於又有麥當勞了）
最好的：1 元辣味麥脆雞 / 1 元小7中杯熱美式
https://bit.ly/3mCIqDj
*其他的有：勁辣雞腿堡、蘋果派、六塊雞，目前鎖定下午要來搶麥脆雞XDD
https://imgur.com/4IWapPu
◆ 商城券
85折券 x1 (最高可折2000) + 92折券x4 (最高可折5000)
https://bit.ly/32wFxNf
*85折限 00:00-02:00 使用，估計一樣不好搶QQ
由於家裡的那台舊洗衣機聲音太吵ㄌ
所以想趁年前把新的洗衣機買起來
同時避開物流塞車的情況
目前主要是以下這3個變頻的款在選～
想問問大家有沒有相關的經驗可供參考
希望能搭到85折券下單 (有機會嗎XDD
東元TECO DD變頻直驅洗衣機
https://bit.ly/3Hx1OKf
三洋 變頻直立式洗衣機
https://bit.ly/3FCizTq
TOSHIBA SDD變頻洗衣機
https://bit.ly/3z3Fpkm
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 42.72.152.135 (臺灣)
"
"DDDDRR","Re: [情報] Google Chromecast with Google TV","Mon Dec 27 21:28:39 2021","231","86","
剛收到email
https://i.imgur.com/O0xBVPt.jpg
笑死 下到單的還要補10鎂 應該很多人都要補了吧
我大概一點半下單的

※ 引述《fnol (都是老闆的毛)》之銘言：
: 被google chromecast tv燒到..想給家中舊電視注入新的生命...
: 找來找去...代購或digital或蝦皮至少1800以上..
: 自己上walmart買也已調回原價且不見得會成功..
: 後來看到isale上有代購1455 , 且我加入會員還有100購物金可抵
: 下面不是營利連結...有concern的可以自行去isale網站下單喔..
: https://www.isale.shop/product/chromecast-with-google-tv-snow-2/
: 1355的價格對我來說..省去弄bns...蠻划算的XD
-----
Sent from JPTT on my iPhone
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.140.45.178 (臺灣)
"
"chillys","Re: [情報] 玉山卡 專屬優惠碼 foodpanda生鮮300-150","Sun Dec 26 16:12:21 2021","251","10","https://i.imgur.com/leg0akv.jpg
玉山Wallet - 我的-兌換券
本來都要忘了XD
大家記得使用喔～
※ 引述《boycher2000 (Cold)》之銘言：
: 剛收到推播有收到foodpanda生鮮優惠碼300-150(非首購)
: 試了一下是真的可以用的，有玉山的可以去玉山wallet check一下
: 感覺是分眾還是PO上來好了
: https://i.imgur.com/q8i3ZCy.jpg
-----
Sent from JPTT on my iPhone
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 110.30.161.4 (臺灣)
"
"ccbbaa","[情報] win10中的耳機Dolby access和DTS七折","Sat Dec 25 00:43:33 2021","499","40","
win10之後多了一個空間音效功能，
多了兩個付費選項Dolby access 和DTS Headphones
現在這兩個都打七折
Dolby atmos for Headphones:539->377台幣
DTS Headphones:679->479台幣
DTS:X Decoder:339->237台幣 (好像是要有支援的音響才有用?)
...剛剛突然發現的 不知道會特價到多久。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 218.35.191.26 (臺灣)
"
"sun24220499","[情報] LINE point 4+1","Fri Dec 24 10:02:44 2021","443","61","下載並開啟指定應用程式 即可得點
https://i.imgur.com/gr3kFA3.jpg
加入好友即可得點
https://i.imgur.com/mkl7RLm.jpg
https://reurl.cc/l53GLj
(連結由社群轉發)
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.82.220.91 (臺灣)
"
"sun24220499","[情報] Line point 4+1","Thu Dec 23 10:05:05 2021","85","172","下載指定應用程式即可得點
https://i.imgur.com/W6Oq7kC.jpg
加入好友即可得點
https://i.imgur.com/ZNEnSHY.jpg
連結：
https://risu.io/AoaW1
(感謝a98大提供)
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.138.133.29 (臺灣)
"
"jou705","[情報] Hi-Life 萊爾富萊享優惠 12/22~12/26","Wed Dec 22 11:13:19 2021","538","27","【活動名稱】：萊爾富 會員萊享優惠
 vulsu1je0
【便利商店/廠商名稱】：Hi-Life 萊爾富
 hlru19ao18x2xknk
【限時優惠】：2021/12/22~2021/12/26
https://imgur.com/L3MmHT9
https://imgur.com/9lNqCsr
https://imgur.com/aer5XYI
https://imgur.com/1ze1ipu
【活動來源】Hi-Life 萊爾富
＊數量有限 售完為止
  ＊ 未滿18歲 禁止飲酒 禁止酒駕
gjoxupdj9x9qpnji8
--
https://youtu.be/l_uxPacslT8?t
https://imgur.com/vLRcZ0p
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.9.96.13 (臺灣)
"
"icloud0606","[情報] line points 4","Tue Dec 21 10:01:31 2021","72","102","下載+4
https://i.imgur.com/jp1xY5N.jpg
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 60.244.195.134 (臺灣)
"
