"author","title","post_time","like","hate","article"
"laptic","[閒聊] 2021/12/30 盤後閒聊","Thu Dec 30 14:00:23 2021","567","175","台　股　18218.84　▼ 29.44 (-0.16%)  2631.67億
台指01　18212   　▼ 62    (-0.34%)   56,892口
櫃買指　  237.55  ▲  1.28 (+0.54%)   759.39億
日盤
台指期　自營商  +480 投信 +28 外資 -2067
台指選　自營商 -5843 投信   0 外資 -1248
上市
漲停家數 (+10%) 11
跌停家數 (-10%)  1
上櫃
漲停家數 (+10%) 20
跌停家數 (-10%)  1
成交量排行：華邦電、華航、元大台灣50反1、群創、開發金
成交值排行：台積電、長榮、陽明、中砂、帆宣
資料來源：TWSE 臺灣證券交易所、臺灣期貨交易所、奇摩股市

封關前夕時，誰能無懼乎？
--
我們的一生會遭遇各種各樣的意外，有的意外，只會讓你變得頹廢，一蹶不振；有的意外
則會讓你找到另一個自己，重獲新生。……你要知道你是誰，你的拋棄和擁有，都是你自
己的選擇，患得患失只會讓你身陷囹圄。
　　　　　　　　　　　　　　　　　　　　——孫衍《願你出走半生，歸來仍是少年》
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 27.125.241.148 (馬來西亞)
"
"Eide","Re: [請益] 買到台積電蹲了一年怎辦","Thu Dec 30 21:56:31 2021","161","206","※ 引述《PauFrank5566 (PF56)》之銘言
: 買到台積電蹲了一年怎辦
: 600蹲到腳麻
: 資金卡住，時間到耗掉才賺2~3%
: 看到別人股票漲停，歡天喜地
: 打開APP原封不動的600...
: 這支股票比金融還要難蹲
: 有沒有大大被台積套牢一整年的阿
: 來取暖.....QQ

年中時航運做完後
覺得全年績效有了，想要穩穩打下半年就好
於是開啟了我台積期無限轉倉之旅
手機難查，只截一部分
https://i.imgur.com/TwHnWNb.jpg

反正就是無腦轉倉...認為年底保底650

九月一度62x、630時，未實現損益有個三十來萬

然後

也不會實現了


10/06一波殺跌，理當回560以下的被硬撐

所以沒能低接更多

後面十一月初逐漸站回600成本均價時

沒錯

我停損台積

拉電腦軟件按計算機，總計-13,340（含除權息）

有人也許認為停損台積電很蠢

但我停損後倉位直接買入40X的群聯
https://i.imgur.com/klAUnNJ.jpg

然後抱到473~495波段了結

重要的是你為何決定「停損」該股票

只有三件事
1. 買入理由消失
2. 已達原訂停損點
3. 有更好的投資標的

--
https://i.imgur.com/3zaoJmw.gif

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 27.52.35.32 (臺灣)
"
"csjan","[心得] 2003~2021台股大盤報酬率","Thu Dec 30 18:20:51 2021","324","157","今年大盤報酬率約+27.7%
台股連三年+27%
1.27的3次方大約是2 抱3年翻倍的意思
(我是用前一年收盤日算到今年收盤日)
https://imgur.com/1M6EuwJ
線性座標系看起來很誇張，畫成對數圖就正常多了
https://imgur.com/bIkPHG2
財經M平方的圖表比較完整
https://tinyurl.com/y8g4bxm7
證交所的原始資料
https://www.twse.com.tw/zh/page/trading/indices/MFI94U.html
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.177.32.1 (臺灣)
"
"krej","[新聞] 威剛:代子公司兆興投資公告","Thu Dec 30 15:25:05 2021","502","101","威剛投顧又沉船了
我怎麼說了又呢？
員工笑呵呵，股東哭哈哈

公司代號：3260
公司名稱：威剛
發言日期：2021/12/29
發言時間：19:13:56
發言人：陳靜慧
1.證券名稱:
(2603)長榮海運股份有限公司
2.交易日期:110/7/28~110/12/29
3.交易數量、每單位價格及交易總金額:
交易數量:2,235,000股
每單位價格:新台幣106~144.5元
交易總金額:新台幣306,125,933元
4.處分利益（或損失）（取得有價證券者不適用）:
處分損失新台幣1,927,427元
5.與交易標的公司之關係:
無

----
Sent from BePTT on my Samsung SM-G970F
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.200.169.226 (臺灣)
"
"h49072002","[閒聊] 猜猜萬海今年年終 (發錢)  ","Thu Dec 30 13:52:44 2021","346","100","所以我說
大家都在陽明 長榮之爭
萬海好像完全沒人要鳥xDDD
今年封關了 期待明年開始
小弟P幣不多 前10位猜中一個人100P QQ
順便祝大家新年快樂~ 年報酬至少一千萬起跳
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 61.216.26.132 (臺灣)
"
"pipiboygay","[新聞] 抽中大賺25萬！瑞鼎申購爆量近70萬筆　","Thu Dec 30 10:23:38 2021","296","13","原文標題：抽中大賺25萬！瑞鼎申購爆量近70萬筆　凍資2146億創台股紀錄
                                      (請勿刪減原文標題)  
原文連結：
https://tw.appledaily.com/property/20211230/RUESSITHMVHJRP4ZA24STG2MXY/
(請善用縮網址工具)
發布時間：44分鐘前
                                      (請以原文網頁/報紙之發布時間為準)
原文內容：
驅動IC大廠瑞鼎科技（3592）周一起進行公開申購，每股承銷價308元，昨天是公開申購
最後1天，以該公司昨日興櫃參考價564元計算，抽中1張可大賺超過25萬元。根據證交所
統計，3天參與申購筆數接近70萬筆，中籤率僅0.22%左右，凍資逾2000億元，創下台股新
紀錄。
根據證交所統計，瑞鼎第一天湧入申購筆數高達26萬3092筆，前2天已達49萬1518筆，此
次申購數量總共69萬7014筆，凍資2146.8億元。
瑞鼎明年1月7日上市掛牌，12月27日至12月29日進行公開申購，公開申購張數為1517張，
每股申購價格308元，12月30日扣款，明年1月3日抽籤。（財經中心／台北報導）

心得/評論：                             ※必需填寫滿20字
70萬筆要抽呀，抽到的人真的非常非常幸運，先恭喜大家呀，祝新年每天睏飽數錢賺大錢
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.159.212.190 (臺灣)
"
"luz940401","[情報] 1229 處置股票與注意股票統計分析","Thu Dec 30 01:58:04 2021","363","86","
處置股票與注意股票統計分析
計算日期：110/12/29
共4檔處置、3檔聽牌、60檔近期有風險

處置中股票
股票              漲跌    分盤  期間
----------------  ------  ----  -----------
8080 永利聯合     -1.36%  45分  12/30-01/13
8440 綠電         2.85%   5分   12/30-01/13
5227 立凱-KY      -3.9%   5分   12/30-01/13
6158 禾昌         4.14%   5分   12/30-01/13
3383 新世紀       9.94%   45分  12/29-01/12
6593 台灣銘板     1.24%   5分   12/28-01/11
6111 大宇資       1.33%   5分   12/27-01/10
2939 凱羿-KY      -2.29%  5分   12/27-01/10
3687 歐買尬       0.53%   20分  12/23-01/06
3491 昇達科       -0.95%  5分   12/23-01/10
4946 辣椒         -0.73%  5分   12/22-01/05
3308 聯德         1.68%   5分   12/21-01/04
9103 美德醫療-DR  -1.07%  20分  12/20-01/03
2406 國碩         1.17%   5分   12/20-01/05
8450 霹靂         4.08%   20分  12/17-12/30
3085 新零售       10%     45分  12/17-12/30
3508 位速         1.73%   20分  12/17-12/30
6446 藥華藥       -2.92%  25分  12/17-12/30
3051 力特         -7.09%  5分   12/15-01/07
6118 建達         5.26%   20分  12/15-12/30

近期可能處置
股票                漲跌    最快可能處置  分盤  天數  注意
------------------  ------  ------------  ----  ----  ------------
4755 三福化         9.88%   1個交易日後   5分   10天  [1、2、3、4]
2374 佳能           -0.3%   1個交易日後   5分   10天  [1、3、4]
6266 泰詠           -2.61%  1個交易日後   5分   10天  [4]
3383 新世紀         9.94%   2個交易日後   20分  10天  [1、3、5]
9103 美德醫療-DR    -1.07%  2個交易日後   20分  10天
6228 全譜           9.89%   2個交易日後   5分   10天  [1、3]
6446 藥華藥         -2.92%  3個交易日後   20分  10天
6134 萬旭           9.94%   3個交易日後   20分  10天
5344 立衛           9.96%   3個交易日後   20分  10天
2340 台亞           -5.33%  3個交易日後   5分   10天
1560 中砂           9.81%   3個交易日後   5分   10天  [3、4]
3035 智原           -3.05%  3個交易日後   5分   10天
3624 光頡           8.93%   3個交易日後   5分   10天  [10、13]
3094 聯傑           9.9%    3個交易日後   5分   10天  [3、4]
1773 勝一           9.85%   3個交易日後   5分   10天  [9]
6208 日揚           9.88%   3個交易日後   5分   10天
2417 圓剛           -2.24%  3個交易日後   5分   10天  [3、4]
1727 中華化         3.05%   3個交易日後   5分   10天  [2]
6205 詮欣           -1.63%  3個交易日後   5分   10天
6538 倉和           3.91%   3個交易日後   5分   10天
8071 能率網通       9.8%    3個交易日後   5分   10天
8489 三貝德         3.61%   3個交易日後   5分   10天  [9]
4116 明基醫         9.98%   3個交易日後   5分   10天  [9]
8092 建暐           10%     3個交易日後   5分   10天
4304 勝昱           6.9%    3個交易日後   5分   10天
9110 越南控-DR      0.34%   3個交易日後   5分   10天  [8]
2498 宏達電         3.37%   4個交易日後   5分   10天  [2]
1721 三晃           0.71%   4個交易日後   5分   10天  [2]
3018 同開           1.47%   4個交易日後   5分   10天
9136 巨騰-DR        1.39%   4個交易日後   5分   10天  [8]
8121 越峰           -2.32%  5個交易日後   20分  10天
3491 昇達科         -0.95%  5個交易日後   20分  10天
3508 位速           1.73%   5個交易日後   20分  10天
5321 美而快         0%      5個交易日後   20分  10天
6111 大宇資         1.33%   5個交易日後   20分  10天
9105 泰金寶-DR      1.3%    5個交易日後   20分  10天
4946 辣椒           -0.73%  5個交易日後   20分  10天
3049 和鑫           -0.55%  5個交易日後   5分   10天  [10]
3707 漢磊           0.34%   5個交易日後   5分   10天
3583 辛耘           9.97%   5個交易日後   5分   10天  [10]
2476 鉅祥           -0.76%  5個交易日後   5分   10天
4934 太極           5.01%   5個交易日後   5分   10天
8028 昇陽半導體     9.89%   5個交易日後   5分   10天
3529 力旺           1.19%   5個交易日後   5分   10天
2388 威盛           0.92%   5個交易日後   5分   10天
2465 麗臺           1.1%    5個交易日後   5分   10天
2323 中環           9.88%   5個交易日後   5分   10天
2365 昆盈           1.52%   5個交易日後   5分   10天
3669 圓展           0%      5個交易日後   5分   10天
2316 楠梓電         -0.54%  5個交易日後   5分   10天
1611 中電           1.15%   5個交易日後   5分   10天
6207 雷科           0.98%   5個交易日後   5分   10天
3202 樺晟           6.28%   5個交易日後   5分   10天
2359 所羅門         9.85%   5個交易日後   5分   10天
6576 逸達           -1.63%  5個交易日後   5分   10天
6741 91APP*-KY      1.72%   5個交易日後   5分   10天
1626 艾美特-KY      2.69%   5個交易日後   5分   10天
5383 金利           -0.32%  5個交易日後   5分   10天
911868 同方友友-DR  0%      5個交易日後   5分   10天
911608 明輝-DR      -0.57%  5個交易日後   5分   10天

近期無處置風險的注意股 (距離處置超過5天)
股票         漲跌    注意
-----------  ------  ----
3041 揚智    3.95%   [13]
5426 振發    -0.4%   [13]
6138 茂達    2.33%   [13]
6190 萬泰科  4.99%   [13]
6226 光鼎    -0.59%  [10]
6235 華孚    0.57%   [10]

來源：處置王 https://bit.ly/3mEt81U

表列中漲停的族群有點分散
最近站上萬八蠻無感
難道是我買的股跟別人不一樣嗎？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 79.110.55.154 (韓國)
"
"icedog122","[新聞] 航海王獲利大爆發! 長榮海運傳年終20個月","Wed Dec 29 19:49:20 2021","357","40","原文標題：航海王獲利大爆發! 長榮海運傳年終20個月
原文連結：https://reurl.cc/GokbN3
發布時間：2021年12月29日 週三 下午6:25
原文內容：
上班族最關心的大事，就是年終獎金了，今年航海王大爆發，市場推估，貨運三雄全年獲
利高達5000億元，可望超過金融業，因此年終獎金也一枝獨秀，其中長榮海運最高可達20
個月，萬海也有13個月，陽明因為官股成分，加上分紅也上看七個月，而金融業則是台新
金和富邦金最豐厚。
年終獎金，就快入袋了，一般上班族，不敢抱持太大期待，不過今年海運景氣暢旺，傳出
長榮海運年終最高20個月，讓人聽了超羨慕。
民眾說，「好羨慕喔，感覺很賺耶。」、「蠻厲害的啊，還好吧因為現在海運不是很盛行
嗎。」
航海王有多旺？市場推估，貨運三雄全年獲利達5000億元，可望超越全體金融業總和，看
看貨運三雄股價表現，長榮一年來從38元漲到144元，陽明一年前近28元，如今124元，萬
海也是暴漲4倍，因此傳出長榮年終從去年最高11個月，加碼到20個月，萬海去年最高11
個月，今年有望比去年多2個月，陽明年終加紅利最高7個月以上，不只航運業，金融業中
，富邦金和台新金，年終最高超過12個月，國票金同樣上看12個月，第一金，華南金和合
庫金則都是超過7個月。
人力銀行發言人黃若薇說，「不管是保險證券等等，今年的業績都非常地好，科技業受惠
於這個貿易戰的關係，所以台灣的訂單量非常地大，那其實各大廠都在搶人才，尤其是工
程師的部分，所以起薪部分也是創下歷年來同期新高。」
科技業以分紅及績效獎金取勝，台積電年終是保障2個月，若加上獎金和其他福利，整體
薪酬高達31個月，聯電一年可領到18個月，鴻海年底發2個月年終，明年農曆年前，還會
再發績效獎金，疫情下，各行各業挑戰不小，年終獎金也呈現兩樣情。

心得：在長榮工作1年 等於領快3年的薪水 太爽了吧 對員工很好 對股東應該也不會太差?
明年股利發50%就好 今年EPS如果是46 明年發23元 現在殖利率是15.9%  還不趕快買2603
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.226.149.247 (臺灣)
"
"midas82539","Re: [心得] 橘子公布紫布機率","Wed Dec 29 15:42:56 2021","198","67","※ 引述《ll33457791 (The Gazer)》之銘言：
: https://i.imgur.com/B6mIZWa.jpg
: 所以公布的機率是3%
: 不是韓國的10%
: 不是什麼期望值仔的5%
: 是3%
: 請問這樣有構成詐欺的嫌疑嗎？
: 還是說遊戲公司因為大多問題都可以程式碼隨便改，非常模糊，隨便就能閃過去了
: 最後這樣的公司真的值得好好投資，對股東非常友善
原串：
https://forum.gamer.com.tw/C.php?page=3&bsn=25908&snA=49352&tnum=61
1. 改版後發現機率竟然只有3%
2. 橘子緊急公告12點臨時維護
3. 改版後機率改為5%   <----現在在這裡
回顧：
https://udn.com/news/story/7240/5803848
說個笑話：
橘子：遊戲版本由原廠提供後，本公司絕不可能自行調整機率。
然後商城的定義細項再説我有調整的權利。
https://game.ettoday.net/article/2082834.htm
最後又被抓包機率自己就在改來改去，而且根本不會到韓版的10%
----
不過這裡是股板，所以我們來看「一個很明顯可笑的事情，到底會不會決定未來股價？」
https://tw.stock.yahoo.com/quote/6180.TWO/technical-analysis
丁特的測試是9/24公開直播測試花費 200 萬鑽石進行 471 次製作，
但只得11件，2.3%，比官方公告的製作率 10% 還低。
的確以當時的價格趨勢來看是走下跌。就算以next bar sellshort的策略
於9/27放空乍看也能享受到一段不錯的價差，
不過放到10/8或最晚10/29都會開始虧損，也就是說，
單純地以新聞作為交易訊號，會因為缺乏出場方式而有績效不穩定的問題。
故若真的想利用新聞來找出交易訊號，我認為最基本還是看當時的股價是否有
方向性，方向在哪，以及停損/停利的風險/獲利比來決定是否要做。
會比較實際，畢竟你認為有問題的事情，跟股價往哪裡走，不見得會相關。
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.34.10.91 (臺灣)
"
"twnndnpdnc","[創作] 黃金孔雀城","Wed Dec 29 13:05:20 2021","312","167","https://youtu.be/5baabj1jW8M
原唱:沈文程
讓我告訴你　在很久以前　有個撲朔迷離的神奇故事
娃娃會閉眼　造出一座城　充滿各種電器的大同黃金屋
太平世界裡　有個XXX　有個不善經營的XXX
還好江湖上　有個XX在　他是個戰力點滿國會戰神
你看那物換星移　像是一齣戲　沒有人知道會有什麼結局
是否在明天將有不同的遭遇　未來的日子是否記得你
頑皮XXX　專做炒房事　資產活化的好小子
還有XXX　本事真特殊　如果遇到他　麻煩跟著來
天下無難事　只怕有心人　大英雄都是小人物出身
大家努力攜手建家園　再造大同黃金屋
當年大同如台GG
制服上身走路有風
可惜物換星移　像是一齣戲~~
那個XXX大家自己填詞
我怕填了出事情
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.136.231.78 (臺灣)
"
