"author","title","post_time","like","hate","article"
"mmkntust","[情報] 薪資查詢平台","Tue Mar 31 09:40:40 2020","235","56","本文用以整理薪資相關公開訊息平台
歡迎版友提供相關連結.建議
此文將置底以供查詢
================================
#1T7Ym64g
    ★  m80 7/05 b89207040    □ [心得] 非擔任主管職務之全時員工薪資
原始資料來源  公開資訊觀測站
(非擔任主管職務之全時員工薪資資訊)
https://mops.twse.com.tw/mops/web/t100sb15
整理好的原始資料
https://reurl.cc/oEKqg
================================
#1TDdDuIb
  69270 m54 7/23 mmkntust     □ [情報] 我的薪資合理嗎？行政院「薪情平台」
行政院薪情平台
https://earnings.dgbas.gov.tw/experience_sub_01.aspx
================================


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 124.218.48.200 (臺灣)
"
"powerdreamer","Re: [請益] 一直不懂為什麼外商可以給比較高的錢","Thu Dec 30 21:54:45 2021","176","199","小弟在某S&P500半導體外商當小小社畜
最近老外跑光放假閒閒來拋磚引玉一下
基本上我的觀察與前面g大差不多
外商大概就是用你現在position or competing offer +15~20%跟你談
小弟才疏學淺還真的沒聽過+50%~100%...
敝公司工程師by人頭每年的預算大致長這樣
tier-1 歐美office包含總部     200k USD/person
tier-2 台/日/韓/新加坡        150k USD/person
tier-3 大陸                   100k USD/person
tier-4 印度/俄羅斯/前蘇聯小國  60k USD/person
每年末HR都會跟各site GM review是否超過
這個數字包含勞健保(美國就401k)/出差/配車位/福利金/ESPP....balabala
在台灣實際稅前到手薪資約135k USD~(380萬台幣)
根據HR發布的年報中位數差不多就是這個數字 (base+RSU+Bonus+ESPP未含股價漲幅)
敝team 90%的人在380 +/- 50萬這個range
依照我們找人的標準 這個數字只能算中上
(10+年經驗/英文流利/通先進製程flow+device+yield/能獨立設計test key/略懂電路)
成員最多來自
(1) GG JG33~34
(2) MTKer E8~E9
(3) i皇 JG7~JG8
可以看出跟原公司的薪資只是略漲一點點 (有些人甚至不到10%漲幅)
HR還是很精的...只需要多一點點的薪資加上一些非金錢的福利就能夠吸引好人才
ex:底薪佔80%, 更自由的風氣 (隨時能WFH), 疫情前能帶者一家大小到歐美出差半年...
2020前敝公司台灣薪資是處於tier-2~3之間尷尬的位置
也感謝GG/MTK的大爆發才讓我們能align星/日/韓
半導體外商大部分習性皆是如此...完全看龍頭GG/MTK怎麼開再加
要的是能馬上有產出的即戰力...但真的沒看過有加到50%到一倍的
有的話麻煩通知小弟~XDD


※ 引述《gsy2i7y14 (gsy)》之銘言：
: 標題: Re: [請益] 一直不懂為什麼外商可以給比較高的錢
: 時間: Fri Dec 24 23:31:20 2021
:
: 由於身處在外商任職，身邊幾乎都是來自M或GG的菁英同事，剛好可以回答這問題。
:
: 首先，主要原因是美國的薪資本來就高出台灣許多，如果相同的工作找一個美國人的薪水
: ，可以找三個台灣人甚至更多…所以外商只要來台灣招募，比台灣當地的薪水多個20%，
: 加上美式管理與公司文化大勝本土公司，就可以吸引優秀人才，完全是雙贏。外商的毛利
: 率就是仰賴優秀人才，才會如此的高。本土公司即使口口聲聲喊著要人才，卻只
: 願意給香蕉，然後做勞力密集的工作，對於優秀人才來說很難維持工作與生活的平衡
:
: 其次，是台灣本土公司薪資太低，成長與管理也遠輸外商，即使M和GG都是世界級公司，
: 但薪資、管理和公司文化卻沒有跟得上排名，所以留不住菁英人才最後都往外商跑的事實
: ，然後只會跟政府抱怨人外不足，卻不檢討自己。
:
: 台灣市場真的太小，投資環境也不是很能夠吸引外商，人才是我們的優勢，一方面能力不
: 錯，另一方面確實是太便宜了，開始吸引愈來愈多外商過來搶半導體人才。能夠吸引更多
: 的外商，才能讓本土公司去改善薪資與管理，使得工作環境或得改善，才能有更多選擇
:
: 最後，也鼓勵大家多多了解外商的工作與職缺，努力往外商前進，更上一層樓，確實
: 能開拓視野，現在已經是全球化了，很多本土公司的視野卻還是頗有限。對於職涯發展，
: 外商是一個很明確又實際且能成長的目標，共勉之
:
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 106.1.233.120 (臺灣)
"
"ricky11105","[請益] Offer請益","Thu Dec 30 12:17:11 2021","570","115","板上的各位好，目前是碩畢的新鮮人。有下面兩個Offer目前在考慮，不曉得就未來發展
性而言哪個比較好呢
GG新N
1.緯創
職位：BMC韌體工程師
月薪(N-9)*14
地點：內湖
租屋
2.台達電
職位：韌體資深設計工程師
月薪：(N-6)*14
地點：台南
租屋
緯創的主要是寫Server BMC的firmware，台達電的是先做一些自動化韌體測試的開始。不
曉得就這些資訊哪個未來發展會比較好呢
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.10.45.152 (臺灣)
"
"qazxc1156892","[新聞] 「焦屍趴龍頭」醋殺情敵！奪命關鍵曝光　","Wed Dec 29 19:05:23 2021","185","56","
新聞標題: 「焦屍趴龍頭」醋殺情敵！奪命關鍵曝光　恐怖南科員工遭聲押

台南南科園區今29日清晨5時許發生一起機車火警，警消獲報約花7分鐘撲滅火勢後，赫見
有具焦屍趴臥在機車龍頭上，趕緊通報南科保警中隊，經調查，死者竟是遭情敵持水果刀
堵殺，再被抬上腳踏板運屍50公尺，連人帶車慘遭縱火燒毀。


檢察官訊問後認洪姓男子涉犯殺人罪嫌重大，屬最輕本刑5年以上有期徒刑之罪，有逃亡
及滅證之虞，向法院聲請羈押禁見。


今日凌晨發生於南科園區迎曦湖北側停車場焦屍案，檢察官謝旻霓獲報後會同法醫相驗完
畢。初步相驗結果，死者葉姓男子背部有一處刀傷，身上則有大面積燒灼傷，詳細死因仍
待解剖鑑定。南檢表示，死者當時受刀傷到底是否已死亡，要明天解剖鑑定才能進一步判
定。


檢察官初步調查，發現死者今凌晨下班後與洪嫌騎機車在南科園區環西一路與環東一路發
生爭執扭打，死者即倒臥在該路口，洪嫌以死者的機車將死者載至迎曦湖畔停車場，過程
中尚因行車不穩擦撞電線桿，洪嫌見死者機車因擦撞電線桿而逸漏汽油，遂於停車場內點
燃汽油焚燒死者及機車。

https://imgur.com/P5WmpYP.jpg


據了解，這名洪嫌（30歲）長相斯文、身材瘦高，和死者葉姓男子（37歲）都是知名面板
大廠的作業員，疑不滿同部門的前女友移情別戀，和死者交往，今天得知死者加班到清晨
四點半，騎機車在環西一路與環東一路口埋伏，見死者騎出公司即上前堵人談判。
洪嫌和死者在路邊發生口角、肢體衝突後，拿出水果刀往死者腹部猛刺，見其倒地，便將
人抬到死者的機車腳踏板上，再運往環東路，結果50公尺後撞到燈桿，竟開油蓋漏油再點
燃，連人帶車燒毀後逃逸。
https://imgur.com/4DH1eVb.jpg
https://imgur.com/27ArEBz.jpg

路人經過發現火燒車，急忙報案。南市消防局今天清晨5時16分獲報，南科園區迎曦湖附
近，新市區環東路一段發生機車火燒車，派遣新市分隊一輛消防車到場，發現機車已燒成
面目全燒，趕緊拉出水帶滅火，赫見有具焦屍趴臥在機車龍頭上，明顯死亡。


保二中隊據車籍資料查出死者身分，經家屬、女友指證無誤。7點多鎖定兇嫌身分，8點多
至洪男麻豆家中逮人，洪坦承犯行，辯稱因感情糾紛失手錯殺。


https://imgur.com/pmQ5gUN.jpg
https://imgur.com/DnyaKxU.jpg


據悉，兇嫌離婚育有一子，疑不滿交往多年的女友提出分手，找其現任男友談判發生互毆
，繼而衍生命案。兇嫌疑似想運往附近的迎曦湖棄屍，出車禍後故佈疑陣，拿死者打火機
放火燒車，犯後返家原想畏罪自殺，但警方不到3小時就上門逮人。（地方中心王志弘、
劉榮輝／台南報導）

https://imgur.com/rLoPjbQ.jpg
https://imgur.com/kLmhiW7.jpg


新聞來源: https://reurl.cc/rQlgmE
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.136.230.22 (臺灣)
"
"gk4432y","[請益] 台灣安集微電子 應用/FAE工程師","Tue Dec 28 20:10:48 2021","481","138","各位科技版的大大們好
小弟最近收到台灣安集微電子 應用/FAE工程師的面試邀約
內容職缺看起來是跟CMP相關
因網路上及板上都沒有查到相關資訊，想請問有人知道風評 環境等資訊嗎？ 因沒啥假可以
請，所以想知道是否值得花時間去面試 如不方便也可以站內信
謝謝大家


----
Sent from BePTT on my iPhone 8 Plus
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.4.30 (臺灣)
"
"iamala","Re: [請益] 一直不懂為什麼外商可以給比較高的錢","Mon Dec 27 07:34:25 2021","520","43","其實重點是，同一個人，為什麼我們常看到在外商領得比較多。而非外商薪水比較高。
或許可以借鑒房事的例子。
台北人到其他縣市買房子，也常常給出區域新高。在地人覺得不值那個錢的房子，在台北人
心中，便宜的很，cp值爆高。
這究竟是為什麼咧？
因為台北人賺台北薪水，衡量東西價值的時候，就容易給得比領鄉下薪水的人高。說穿了就
那麼簡單。
但台北人外地買房，可能是小孩讀書暫住，可能是渡假用，可能置產出租。總之百百種理由
，但他還是台北人，不會外地買了房就說自己是當地人了。但房子不同，被台北人買走，還
是鄉下房子，房子不會長腳。
但人會長腳，去外商有機會變成外國人的。給自己一個CCR的機會吧。人才放到國際舞台，
才能被國際鑑價。
不是人才咧，其實窩台商也不賴啦...在世界上cp值前前段班了。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 61.219.65.195 (臺灣)
"
"DrTech","Re: [討論] 讀博士在業界是不是超虧？","Sat Dec 25 10:51:27 2021","324","189","※ 引述《gn01325260 (gn01325260)》之銘言：
: 如題
: 這幾年很多碩畢新人
: 蹲個一兩年就超過兩百
: 前面討論串也有人提到
: ㄧ線ic廠
: 碩士月薪大約 7～8萬
: 博士大約 8～ 10萬
: 多花五六年讀博士
: 月薪才多一 兩萬
: 超虧的吧？
: 而且博士缺也不多
: 台清交博士也不見得好找工作
博士百百種，這種一開頭標題與內文就要討論所有博士，很難回答啦。加上博士+工作多年+願意分享的人超少。
真的要看情形，即使是同校，同系，同教授博士，因""選擇""也會產生極大的差異。
先說錢方面的差異。
不同領域真的差超多，原文看到的也是事實。
台積研發類博士，剛進去幾年500左右也是事實。台灣人有人第一份工作，可以談到200萬人民幣年薪，也是事實。差異極大。
如果是有打算出國，不管是身份的取得，各類政府補助，也是大家常忽略的。如果是中國，刻意申請各地高層次人才獎金，甚至可大量節稅，這都是碩士以下很難輕鬆取得的金錢相關福利。
搶人激烈的領域，各種簽約金，每年的extra，結構性調職級，各種special case，都是一般版上沒人討論的。

中肯說，博士畢業，選擇影響了所以事情。
博士頭銜本身影響薪資很少。
工作歷練的差異：我覺得這才是大家忽略的重點。
一個正常公司，根本不會刻意請博士。又老又難溝通使用，還不便宜。有些思考活在象牙塔。
越是正常或令人敬佩的公司，請博士都有特殊用途，並且用另一種方式管理這類人。導致發展漸漸與碩士有所不同。
例如，工研院，我哪個年代碩士畢業10年，很多人都沒機會當計畫主持人。正常博士進去第一年，第二年就會當了。專利論文也是，幾乎都是靠博士撐的，考績起點當然不一樣。
我去中國，每家公司幾乎都有給特殊待遇與特殊研發工作，例如申請專利，申請各種省級，國家級研發獎項，補助，這些都是碩士根本沒機會碰到的。跟國外合作也是直接找博士，各部門合作也是優先找博士鎮場面。
簡單的說，
博士可以選擇的工作類型比碩士還多。
尤其是真正研發的工作，很多類型工作都跳過碩士。
喔，選擇""多""，不代表比較賺錢。

在中國與台灣都有個特色，能力正常博士要爭取管理職也一直不是問題。我在職場多年，一直都會遇到，我不覺得自己貢獻贏人，但因為我是博士，就結構性升等了。
另外即使不一定兼任行政管理職，高好幾個層級的人都願意花時間跟我交流。如果""人際經營正常""，一堆總的咨詢也是優先找你，重要場合露臉也是優先找你，各種技術要人站台也是優先找博士。這樣能不升職嗎。這也是我觀察到碩士比較沒機會碰到的路。
當然也不是有這條路，就一定升得快，很多博士也是不願意靠經營人脈升的。
----
結論：
錢：看人的選擇。
做事的深度，廣度，路線，機會：多很多。


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.217.1.161 (臺灣)
"
"wahaha23","[新聞] 賺價差牟上億暴利！害友達失血24億　股","Fri Dec 24 17:49:03 2021","559","67","賺價差牟上億暴利！害友達失血24億　股民賠錢都是這3人害的
蘋果日報
https://tw.appledaily.com/local/20211224/XOWL43HLBNEARLLWCHYWPKUDXA/
友達光電蘇姓處長利用主管公司銷售權限，私下與蔡姓代理商勾結，將公司面板價格壓低
後，再介紹蔡男公司給中國客戶洽購面板，藉此將價差利益留蔡男公司，再透過各種洗錢
管道，收取近上億佣金；宮姓經理後來也參與價差操作，先成立境外公司，用略高成本價
購入面板後再轉售，藉此獲得600多萬獲利及10萬利潤，3人7年來，共害友達光電損失24
億。新竹地檢署今偵結將蘇、蔡、宮3人分別依違反《證券交易法》及背信、洗錢等罪嫌
起訴。
檢警調查，40多歲蘇姓處長，自2012年5月間引進蔡男公司成為友達代理商，進而共謀壓
低面板價格，再由蘇男從中介紹友達光電在中國的客戶，讓他們轉向與蔡男公司洽購面板
，藉此將價差利益留在蔡男公司。蔡男再透過各種洗錢管道，將佣金回扣給付給蘇男。
另外自2018年5月開始，友達光電銷售部宮姓經理也一起參與價差運作，宮男先成立薩摩
亞境外公司（簡稱NZ公司），再要求蔡男以略高於成本價的價格，將友達光電的面板販售
給NZ公司，宮男再將取得低價的面板轉售給客戶牟利。
新竹地檢署今年1月接獲調查局新竹市調查站陳報，指出國內面板知名大廠友達光電經內
部稽核發現，銷售部主管有主導異常交易造成公司損失情事，因金額鉅大、攸關投資大眾
權益，新竹地檢署立即分案予專責檢察官沈郁智組成專案小組深入追查。
專案小組蒐集事證後，持搜索票在3月24日動員超過50名調查官前往3名主嫌住處及蔡男公
司位於新竹、桃園、高雄等6處地點同步執行搜索，並查扣相關帳冊，確認蘇男、蔡男、
宮男在此非常規交易中，造成友達光電的價差損失高達美金8948萬，以今天匯率換算新臺
幣高達24億餘元，已逼近友達光電去年稅後淨利33億餘元。
檢警調查，其中蘇男至少獲得9337萬不法所得，宮男除獲得10萬元回扣外，另又自NZ公司
轉售友達光電面板獲取價差，不法獲利約美金22萬元，換算台幣約600多萬。
檢方向法院聲請查扣蘇男人頭帳戶，發現其內有約1384萬元，及位於高雄之4戶價值2795
萬元房產；蔡男則自願提出1000萬元不法所得供檢方查扣。檢方訊後，將蘇男、蔡男、宮
男3人分別以違反《證券交易法》第171條第1項第2款以直接或間接方式，使公司為不利益
之交易，且不合營業常規，致公司遭受重大損害以及《刑法》第342條第1項背信及洗錢等
罪嫌起訴。
新竹地檢署指出，蘇男、宮男身為台灣面板大廠友達光電銷售部高階主管，握有面板銷售
的訂價權限，職位已坐領高薪，卻不思為雇主爭取最佳利益，反而利用己身所掌握的市場
價格資訊，設計各種價差交易等非常規交易模式，藉以牟取私利，造成友達光電鉅額損失
，且已造成台灣廣大投資股民的損失，又將不法利益輸至中國地區，間接削弱台灣經濟實
力，所為實屬不該，且2人犯後依飾詞狡辯、隱藏犯罪所得，顯毫無悔改之心，已建請從
重量刑。（突發中心黃羿馨／新竹報導）
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.163.10.121 (臺灣)
"
