"author","title","post_time","like","hate","article"
"lgng66133","[公告] 要發文/推無家日文章前請先詳讀雷文條款","Wed Dec 15 20:55:28 2021","581","116","發文/推文前請先詳讀此條款 然後置底特別規範也請詳閱
6. 雷文條款
未上映或在台上映未滿六個月電影劇情心得文章規範
違反6-b、c者刪文並水桶一週
違反6-e、g者視情況和犯意最重可以退文水桶+30天或退文+水桶60天
   a.透露影片官方發布電影預告內容或劇情說明已知部分可免受此條文規範
   b.在未做任何警告或標註不明顯的情況下予以透露；
   c.無論雷文警告寫於標題或內文，應將警告文字單獨成行，
     並間隔放雷處一頁以上。並依據發文格式發布
     (標題有標，內文可標可不標，標題沒標，內文一定要防雷)
   e.標題標註無雷欺騙版友，內文透露關鍵劇情者
     或於無雷文推文透露關鍵未公開劇情者 標題直接爆雷者 加重處分
   f.在台公開上映滿六個月或在台未上映且其他國家公開上映超過一年
     電影作品內文可不受此條文規範，發文標題則無上映期限限制
   g.發文標題爆雷規範：無論電影上映多久外標題一律不得爆雷
-------
我每篇都會巡
我看到你有踩到點的我都是以先提醒修改的方法 修改好的話就沒事
沒改的話我就是會刪文 我相信各位也不想要花時間打的長文就這樣被刪除
然後你想玩擦邊還是鑽漏洞想以身試桶就別怪板主群不客氣
公告後標題只要有擦邊踩到雷的 提醒過後未改正就是水桶
-------
6.a也寫的很清楚  官方預告or宣傳片段沒有提及到的都是雷 請不要隨意爆雷
你各位不知道現在預告還是宣傳片段有播什麼
我找了熱心網友把所有預告和宣傳片段剪輯成一部的超長預告
不知道發文會不會提到雷的可以先看
https://youtu.be/rnneOChzGVU (有大雷 建議看完電影再看)
-------
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 203.163.205.230 (臺灣)
"
"sonans","Re: [討論] 里奧納多是最會選劇本的明星嗎","Thu Dec 30 22:34:10 2021","547","29","與其說他會挑劇本，不如說他很挑導演，他幾乎只跟大導合作，
列出他這20年的紀錄：
2002：馬丁史克西斯（傳奇導演）。
2002：史蒂芬史匹伯（傳奇）。
2004：馬丁史克西斯（傳奇）
2006：馬丁史克西斯（傳奇）。
2006：Edward Zwick。
這個不算傳奇，但是至少也剛拍完了較好叫座的「末代武士」，
而且以前也拍過不少名片。
2008：雷利史考特（傳奇）。
2008：山姆曼得斯（不算傳奇，但是至少也算大導。）
2010：馬丁史克西斯（傳奇）
2010：諾蘭（才剛拍完TDK登基為新一任的電影大帝。）
2010：克林伊斯威特（傳奇）
2012：昆丁（傳奇）
2013：Baz Luhrmann
這個算不上傳奇，不過好歹當年也靠紅磨坊風光過，
而且我一直認為他會接這片很大的原因是跟導演與男主角是好友，
他跟導演拍過羅密歐與朱麗葉，
當年導演要拍亞歷山大的時候還預定要他來演亞歷山大。
2013：馬丁史克西斯（傳奇）
2015：Alejandro G. Iñárritu（才剛靠鳥人拿下奧斯卡導演。）
2019：昆丁（傳奇）
2021：Adam McKay
這個算不上傳奇，但是至少也靠兩片VICE跟大賣空風光了一下奧斯卡。
他合作的導演，最低標的就是這三個Edward Zwick，Adam Mckay，Baz Luhrmann。
但這低標對很多人來說也很高標了，這三個人也算很有成就了。
李奧挑片的標準很明顯：除非你是已經做出成績的大導，不然不要來找我談。
但，好作品真的只會出現在已經做出成績的人身上嗎？
當年拍出駭客任務的導演之前拍了什麼？
當年拍出記憶拼圖的導演之前拍了什麼？
當年拍出魔鬼終結者的導演之前拍了什麼？
當年拍出霸道橫行的導演之前拍了什麼？
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 219.85.202.88 (臺灣)
"
"chinhan1216","[負雷]","Thu Dec 30 15:40:19 2021","549","64","雷文防雷資訊頁

~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~


~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
我覺得漫威在開展它的宇宙脈絡一直很聰明很有想法很會牽扯
像這次為了加入多重宇宙概念
把索尼兩版的蜘蛛人當成其它兩個宇宙來搞個三代同堂真的天才
選題超強
可是不能只賣個情懷就要我吞主線這麽智障的劇情啊
首先被發現真實身份之後的各種騷擾所以想找奇異博士幫忙這我懂
沒先想好內容 咒語中間改個好幾次導致出事 這我可以無視
但在其它宇宙的反派亂入之後 在短時間內跟各反派混熟並因社工嬸嬸莫名大愛影響下（
沒幾句話或劇情鋪成只是綠惡魔找上嬸嬸 嬸嬸覺得他好像失憶老人好可憐需要幫忙）就
對奇異博士出手 拖延反派回自家宇宙的時間（梅嬸應該是催眠大師吧）
並想以無意間發現史塔克留下的複製盒子治療好他們 無威脅後再送回他們各自宇宙以免
被其它蜘蛛人滅了（黑人問號？）
期間我才知道史塔克工業的黑科技可以一個箱子就能短時間造出其它宇宙科技
反正這邊整個就是讓我尷尬癌發作
果不其然最後出事 梅嬸這三寶掛了
就是因為出事原因太蠢太不可理諭
導致這邊我只覺得爽 一點同情悲傷的感覺都沒
陶比跟加菲加入後三隻蜘蛛人一起噴絲亂飛打鬥的畫面是不錯
但電光人這次整個像晝光燈一樣在晚上不斷放電相當刺眼 不太能直視看完所有片段 覺得
把他調藍還是有必要的
尬聊部分也太多太長相當拖時間
我知道漫威就是要幽默歡樂
但要夠短 馬上讓人意會才好笑
太長就會令人尷尬
奈德阿嬤明明就會英文 硬要講不知道哪國語言 講超久
才經由奈德翻譯 蹦出一句其實也沒對好笑的台詞
三個蜘蛛人在決戰前的閒聊片段太長了
而且一直著重在陶比會自體噴絲這點很尬 啊前面就知道了 還一直講這個是要陶比講啥？
最後的失憶重逢
抱歉劇情太屁 感傷不起來
總之就是想炒的主題很好
但是劇情愚蠢 一些枝微末節也處理得不好
觀看前就知道會三代同堂
但沒想到是以這樣的方式呈現
原本以為會先三隻互相遇到相處時間夠久才有羈絆來處理遇到的問題 順便可以了解一下
其它兩人之後的生活在幹嘛

反正就是失望啦
看到想睡 旁邊的還直接打起手遊

以上






--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.139.105.146 (臺灣)
"
"bahamutuh","Re: [ 雷] 千萬別抬頭 無人機??","Wed Dec 29 22:39:30 2021","209","157","※ 引述《magic543 (何布)》之銘言：
: 雷
: -------------------------
: 最後 指揮無人機的時候
: 說明只要24台運作就能炸掉隕石
: 再重看一次 總共有30台 其中6台掛了
: 也在誤差範圍  為什麼沒辦法炸掉隕石??
因為只要24台運作就能炸掉隕石這句話
這從頭到尾只是那個科學家(X)商人(O)自己講的
別忘了皮卡丘一再問他有沒有經過同行審查
科學家(X)商人(O)沒有正面回應
反而扯東扯西 最後還直接人身攻擊說根據我的演算法你的死法就是孤獨一人死去
最後結局皮卡丘拒絕女總統一起搭飛船跑去外星球
留在地球跟家人和珍妮佛等人一起聚餐並死去
也證明那科學家(X)商人(O)從頭到尾都在胡說八道

所以看完這電影 至少要學會一件事
別相信那些拿不出或是沒有經過同行審查的說法
不管這說法是多麼有名的人所說的
在科學界 沒有或不敢經過同行審查的說法 就是要打個大問號
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 60.248.33.18 (臺灣)
"
"s7503228","[新聞] 「金鋼狼」休傑克曼確診新冠！接種過疫苗","Wed Dec 29 11:27:49 2021","67","129","「金鋼狼」休傑克曼確診新冠！接種過疫苗加強劑、是突破性感染
https://i.imgur.com/W7Bzh0s.png

好萊塢知名澳洲男星休傑克曼。（湯森路透）
好萊塢知名澳洲男星休傑克曼（Hugh Jackman）確診新冠肺炎。
休傑克曼在推特公告自己確診的消息，但強調僅有流鼻水、喉嚨發癢等輕微症狀，「我會
盡快康復」，並呼籲各界「保持安全、保持健康、心存善念」。
https://twitter.com/RealHughJackman/status/1475883673383845888
《路透》報導，休傑克曼原先在百老匯主演舞台劇《歡樂音樂妙無窮》（The Music Man
），目前製作人已宣布1月1日前的表演場次全數取消；同劇演員佛斯特（Sutton Foster
）日前也宣布確診，改由替補演員頂替。佛斯特預計2022年1月2日重返舞台，休傑克曼則
預計至少缺席到6日。
休傑克曼5日才公布自己打了新冠疫苗加強劑，是突破性感染病例，但他並未表示自己是
否感染Omicron變異株。
休傑克曼現年53歲，以「X戰警」（X-Men）系列電影的「金鋼狼」一角廣為人知。除電影
演出外，休傑克曼在音樂劇也表現優秀，曾兩度獲頒東尼獎，並在2012年攜手知名女星安
海瑟薇（Anne Hathaway）主演《悲慘世界》電影。
儘管美國疫苗普及、演員和工作人員都接種疫苗，但百老匯經典劇目《漢密爾頓》、《獅
子王》和《阿拉丁》等數十場演出，仍在過去兩周被迫取消。
新冠肺炎疫情讓百老匯自2020年起關閉18個月，直至9月才重新開放。
新聞網址：
https://today.line.me/tw/v2/article/9m2G8ge
https://i.imgur.com/elBMfNl.jpg
靠北喔我前幾天才寫了金剛狼的文==
--
https://i.imgur.com/XojniAS.jpg
https://i.imgur.com/2HAOj8D.jpg
https://i.imgur.com/Gu6cX3A.jpg
https://i.imgur.com/zHhZrf6.jpg
https://i.imgur.com/HScyHYM.jpg
https://www.instagram.com/so_rabimu/
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 60.249.132.75 (臺灣)
"
"ez910115","[  雷] MCU的多元宇宙階段=挖到石油嗎?","Tue Dec 28 20:20:37 2021","469","87","雷文防雷資訊頁

















~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~

~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
無家日之後，MCU應該是嘗到甜頭了吧
觀眾正想要的也是這個
已經確認的是，加菲在談後續的合作

其他的我腦洞一下
其他宇宙的鋼鐵人請湯姆克魯斯來演，然後戰爭機器一定要是泰倫斯!
其他宇宙的黑寡婦請艾蜜莉布朗來演
驚奇4超人有2代的演員可以自己挑
X戰警也有2代的演員可以挑，(第一代的好像真的太老了..)
別的宇宙搞不好洛基可以是雷神
說不定浩克也可以來三代同堂
一些死掉的反派，在其他宇宙說不定是正派，隨時能回收利用
(好想再看到海拉~~)

然後跟別的宇宙的黑化自己對幹一下(奇異博士2)，也能拍一集，
比猛毒那種鏡像對決還要省，也不用跟猛毒一樣一集就要賜死一個反派。

然後大部分所有的英雄都找的到接班人，克紹箕裘一下就好

諸如此類

我想MCU用多元宇宙這招，至少能再玩三個階段
重複回收利用
根本就是挖到石油了嘛
我一定看
所以趕快拍好嗎?
XD


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.45.25.151 (臺灣)
"
"avig800","[討論] 駭客任務重啟該怎麼搞？","Tue Dec 28 13:05:41 2021","82","76","好啦，妳各位都很熟華納 索尼 的路線
超人跟杯麵，豬人  重啟 重拍   都跟吃泡麵
一樣自然
目前看來，在駭客任務4鳥掉後，不甘心的
高層一定想重啟重拍三部曲，你們覺得各
方面該如何安排呢？
駭客男主角要東西方血統是傳統，不然也要黃皮白骨之類的
我推王力宏一票
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.36.197.119 (臺灣)
"
"yangtsur","[普好雷]  蜘蛛人無家日 既滿意又失望的矛盾感","Mon Dec 27 23:56:23 2021","509","99","雷文防雷資訊頁
內有劇情暴雷
上禮拜看完電影後的心得
不吐不快
一些淺見, 如有冒犯
我先道歉
文長注意










~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~

~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
我看完這部片後算是既滿意又失望
兩種情緒並存的複雜感
經過一個星期的沉澱後, 左思右想下
還是決定把這次觀影的心得給寫出來
滿意的點是這次的演出真的是誠意滿點
出場角色多且純(請到每位角色的初代演員)
且在戲份安排上比重不會失重
每個角色都有好好地給他適當的台詞與表現機會
Jamie Foxx 電電人演的還是跟Baby Driver那樣
既有殺氣又保有幽默 很有趣的角色
而綠惡魔-奧斯朋
那個顏藝演出真的是滿分
每個橋段擷取下來單看的話可能會想說
這人表情怎麼刻意用的這麼扭曲
但想到這角色複雜又邪惡的特殊人格
真的又覺得就應該這樣演才對
其中很多橋段都有致敬各自自己的作品
很多角色也都在這次的電影篇幅中
得到了各自的救贖
尤其是加菲貓成功救到三代MJ
彌補了當年的遺憾
陶比成功拯救了奧斯朋
完成了當年他沒有完成的事
當下那個情懷與彌補雙重情感夾擊下
真的是有些百感交集
(話說蜘蛛人體質真的有點太強
綠惡魔手臂刀那麼一大把整把插進去
也只在地上躺了一下就可以被扶著走了)
還有三代蜘蛛人各自挖苦的地方
陶比一直用you are amazing 來挖苦
加菲貓那段真的是笑死
好雷的部分說完
也該說些失望的部分
也是讓我給普雷甚至有點負雷的原因了.
剛剛主要滿意的點著重描述著各類彩蛋
與演員的誠意演出. 所以負面扣分的點...
就是劇情了.
這次的劇情簡短來說
就是 鼻屎般的動機  汪洋般的災難
且故事裡的人對於力量毫無敬畏
難以想像這是一群多次拯救世界
見識過隨意揮霍力量所帶來的惡果的一群英雄會做的事情
看戲前我還在想電影版會怎麼導出各反派
各英雄集結的原因呢
也是時空機器出問題嗎, 還是怎樣的.
有點期待
卻沒想到是因為主角為了阿出名了很煩惱
自己不想辦法解決 連嘗試一下都沒有
世界上有那麼多名人那麼多英雄
都有身分曝光的煩惱, 甚至普通名人突然出名後
名人身分與普通人的生活如何平衡
即使身為超級英雄 又有一些過往事機的影響
或許會有些不同. 但類似的事情是可以借薦的
結果奇異博士直接用了一個只要操作失誤
就會把整個多元宇宙搞砸的法術來幫主角解決問題
這就好像用核爆來烤麵包一樣
這英雄在市中心用核爆的威能來烤一個麵包
烤的過程要很專注 不然整個世界都要毀滅
然後想要吃麵包的人
還很白目地跑去給英雄搔癢癢
所以很理所當然的就爆了, 整個搞砸.
看到事件起因是這樣真的是傻眼耶...
這一點都不幽默也不好笑
真的是超級白目
在得知主角只是剛看到不率取通知自己甚麼事情都沒努力
就跑來找奇異博士施展禁咒解決他的小麻煩時
蜘蛛人被從聖地趕出來
到這裡我還能會心一笑
畢竟這裡還是電影前期,
漫威蜘蛛人系列也通常走一些較為輕鬆的路線
可能這是在為後面的災難鋪陳這樣
沒想到這次的世界危機就真的是因為蜘蛛人沒被學校錄取
跑去請求奇異博士施展一種只要失敗多元宇宙就會混亂毀滅的禁咒
而且還在施法途中不斷地不斷的打斷施法過程
就好像不出事他就不爽這樣
(當然奇異博士的自大,隨意使用禁法也有責任
從跟王的對話中得知不是第一次這樣用了.
連開派對也要用這法術清洗記憶,真的是遲早出事)

我真是無法理解為何要用這種引子來導出
這次的災難. 也因為如此白目的行為
讓我在心裡為這次的電影定下了一個不做死就不會死, 活該
的調性後, 後面發生的生離死別都很難讓我感到悲傷與難過
更尤其在博士提出一個很好的解決方案後
主角又自以為是的想要用一個他認為的""更完美""的解決方案
因為主角要拯救所有人
即使壞蛋表明了我他媽就是要殺人,我就是要破壞
主角還是要給他們一次改過的機會
過程中讓夥伴陷入危險, 街區炸毀, 公寓倒塌 親人逝去
沒關係 因為主角要拯救壞蛋
雷電人更重複表明 他就是喜歡這種有力量的感覺
他就是想要破壞, 主角也是依然我行我素的妄圖拯救他人
而主角的解決手段就是直接物理限制了各個反派的能力
強行轉換成凡人再把他送回家.
這就是解決之道? 根本治標不治本啊,
只要這反派有恢復能力的一天
同樣的破壞不就會又再次發生, 這有甚麼意義?
那對於受到波及的一般市民又情何以堪
反正他們也沒有發言權. 也就電視上罵罵而已
看到反派又關進去了 就可以開始細數反派逃獄的日子
這種治療給我的感覺都是三代的一廂情願
讓我想到一部多年前的網路小說,
大意是主角是一個具有強烈正義感的年輕人.
一天因為意外獲得了超能力, 便想用超能力讓世人向善
隨著超能力的成長,見識了世間的黑暗
他深感自身能力的不足, 便不斷提升自我
終於故事的後期他基本算是該宇宙無所不能的神
創世與創造人類也在一念之間
主角可以隨意修改人類靈魂的任意參數
可以讓世上所有人都過得完全幸福, 也讓百分之百每一個人
都是真正的聖人性格. 但這對主角的理想毫無意義
因為是他的干涉才有這樣的結果,
而不是真正毫無干涉下的人類族群去走向真善美
三代蜘蛛的所謂拯救就讓我有這種感覺
這些壞人的改善也只是在三代強力干涉下的假象而已
且仔細想來, 主角最終其實還是沒有達到他所想達成的
讓這些反派都活下去的目的
回想這些反派穿越到三代宇宙的時刻. 都是死前的那一霎那
爆炸中還未死去也算是死前一霎那
刀子插到身體裡彌留之際也算死前一霎那
其他反派怎麼死的印象有些薄弱了
但八爪博士...我記得他是死於核融合失敗吧?
因為蜘蛛人的阻礙實驗失敗爆炸海水/河水倒灌這樣...
這樣即使三代把他們""治好了""丟回去
也還是一個死字的結局, 毫無改變
終究是三代蜘蛛的一廂情願
到蜘蛛人無家日, 第三代蜘蛛人也經歷過了多次世界危機
見識過了各種壞蛋, 也經歷了許多死別與真正的滅世還有犧牲
可惜的是我卻看不到這個角色有任何的成長
或許你可以說 ""啊他還只是個高中生所以不成熟"",
但這個高中生可經歷了世上99.9%以上的人幾輩子都不會經歷過
的豐富事件. 他的心理, 他的智慧 早該有成長了
你知道火會燙, 第一次不懂去觸摸灼傷.
那第二次就該明白如何避開危險,辨別傷害
這故事怎麼會是這樣的發展呢...唉
可能受於年紀, 與更直觀的說蜘蛛人的角色設定影響
在面對危機時會用一些輕鬆的方式去應對.
但也可以再成熟圓潤一點吧
我想我還是更喜歡一代那樣的應對方式
三代蜘蛛人一貫的邊打邊嘴, 不斷的嘴, 碎碎念的停不下來
真的是有點受不了...
故事的最後, 蜘蛛人犧牲了自己
把世人對自己的認知抹去, 他的愛人與朋友等等
真的是感覺不到任何悲傷
兜兜轉轉一大圈最後得出這樣一個結果
事件的起因是為了要順利入學,
事件的最後還是得靠自己去重新努力
雖然到故事的最後 能不能入學已經無關緊要
最重要是這段經歷給蜘蛛人帶來的成長
但真的能讓下一次的蜘蛛人故事有所成長嗎?
我是真心希望這三代蜘蛛人的角色能在下一部有所改變
只是依照過去的經歷與這部的表現
不太抱希望呢
另外, 考量到荷蘭弟也扮演了5,6次蜘蛛人了
除非他想像金鋼狼那樣一個角色演一輩子
不然算算時間也該是時候該有第四代蜘蛛人的出現
假如有第四代蜘蛛人
我想大概會是個黑人蜘蛛人或者是女蜘蛛人關吧
新宇宙就黑人蜘蛛人, 去年也出了個黑蜘蛛人主角遊戲
加上這次電電人也說了我想在宇宙某處也總有個黑人蜘蛛人
再考慮到近代基本上無所不黑的風氣
(連英國女皇母親都黑人演了)
第四代蜘蛛人會是黑人的機會我想還是挺高的
班叔或者梅姨很快又要再再再死一次了

一些淺見
如有冒犯我先道歉
謝謝
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.45.185.86 (臺灣)
"
"ID1","[討論] 真正的蜘蛛服，頭套根本不能拿下來吧？","Mon Dec 27 17:55:39 2021","225","189","我一直很好奇陶比蜘蛛人頭套的接痕在哪裡？
看起來是如此的完整
https://imgur.com/D3TdkP2.jpg
https://imgur.com/DFOK3RR.jpg
https://imgur.com/7TozPeH.jpg
https://imgur.com/tGlTLir.jpg
陶比在蜘蛛人2
讓火車減速有拿下來、被八爪博士送去哈利面前有被扯下來
結尾對八爪博士溫情喊話有拿下來
但都太快了
我只截了下面這2段
放慢看陶比拿下頭套前，其實是有接痕的
https://imgur.com/truuTiu.jpg
https://imgur.com/8qFdHCP.jpg
https://imgur.com/NBp7JHp.jpg
https://imgur.com/DWpfWgl.jpg
https://imgur.com/5Dg30zA.jpg
真正拍動作戲的蜘蛛服，頭套跟身體是一體成形、不能拿下來也是很合理
不然動一動，脖子的肉色跑出來，不就要重拍了
只有在拍需要拿掉頭套的畫面，才會穿頭套跟身體分開的蜘蛛服
那這就衍伸出另一個問題了
這樣的蜘蛛服要從哪邊穿進去？
要是頭套是分開的，可以從脖子撐開穿進去
現在頭套跟身體是一體的，
是背後有拉鍊？
像兩件式雨衣這樣，分衣服跟褲子？
還是褲底比較沒人會注意，作成開襠褲，然後拉拉鍊？魔鬼氈？
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 163.20.163.101 (臺灣)
"
"kamiyoshin","Re: [請益] 無家日一位角色的台詞(雷)","Mon Dec 27 12:53:08 2021","66","0","※ 引述《louise13 (PPP)》之銘言：
: 你糾結這個還不如糾結申請的bug
: MIT被拯救的助理女士因為知道蜘蛛人是彼得帕克
: 且MJ和胖子是蜘蛛人的朋友所以拒絕了這兩個人的申請
: 然後奇異博士消除了所有人的對於蜘蛛人是彼得帕克的記憶
: 那請問，助理女士是怎麼會知道要複審而且錄取MJ和胖子?
: 滿滿一疊拒絕信她哪會記得誰是蜘蛛人的朋友，而且重點在她現在不知道是誰了
: 哪找得出來
: 另外消除記憶也有bug，消除的是蜘蛛人是彼得帕克的記憶
: 為什麼會變成消除對於彼得帕克的記憶
: 要知道這個法術一開始是為了要讓彼得帕克三人組可以複審MIT的申請
: 如果彼得帕克知道這個法術施放下去他自己連高中學歷都沒有
: 要去重新考高中同等學歷
: 那他施展這個法術施展心酸的阿
: 搞屁阿
: 而且到底為什麼他就像個綠查表一樣把壞人帶進這個世界還想要假裝自己是受害人
: 這是我看過最沒有邏輯的哭霸垃圾英雄電影設定
: 自己弄出壞人還要自己假裝受害人的去喊能力越大責任越大
: 大妳啊罵
: 根本就是千萬別抬頭裡面的那個垃圾企業金主
: ※ 引述《yabibear (yabi)》之銘言：
: : --------------------------至頂防雷-------------------
: : ---------------------------防雷END-------------------------
: : 想請問有沒有人還記得王勉強同意奇異博士使用法術後之後說的話
: : 依稀記得翻譯是類似""不要把我牽扯進去""這種意思。
: : 因為當奇異博士怪罪說法術被蜘蛛人改了六次
: : 蜘蛛人糾正他說是五次(還是是五次跟四次有點忘了，不過就是少一次)
: : 自己腦補是不是有可能，原本奇異博士一開始就依照王的要求將他排除在法術之外，
: : 所以多了一次。
: : 再加上整齣戲，王的戲份也沒有一定要出場的必要，
: : 又突然出現王的位階因為五年空白所以變得比奇異博士還高的設定，
: : 奇異博士施法還需要他的同意。
: : 所以最後結局的法術，奇異博士也有可能會按照王的指示，預設將王排除在外，
: : 王可能變成唯一一個記得蜘蛛人的人吧。
: : 今天下午看完，不過細節也不是記得很清楚，想說上來問一下，感謝。
審查結果有說是因為近期爭議所以不能錄取
近期爭議=蜘蛛人本身身分被揭露引發軒然大波
你所謂的BUG
其實跟施法忘記蜘蛛人身分或是忘記彼得帕克都沒什麼關係
因為發生的事就是發生了
雖然MCU多元宇宙我們目前知道的還很有限
先參考終局之戰說過的
回去勒死薩諾斯寶寶也無助於原本已經彈指後的時間線
也就是說
我們可以推論就算法術施了
那位女士還是會回去幫三人組說話
但是彼得的身分已經因為法術的關係被強制抹消
女士也只有辦法幫MJ跟Ned了
有看到彼得最後身邊有一本GED考試用書
就是他連就學紀錄都沒了
我反而比較好奇他還有沒有出生證明跟身分證件
正片是有不少細節沒交代清楚沒錯
看之後會不會補完

--
Sent from my Windows
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.130.133.114 (臺灣)
"
